element,sp_num,obs_wl_vac(mcm),unc_obs_wl,ritz_wl_vac(mcm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sc,1,"""2.2030183""","""0.0000010""","""2.2030179""","""0.0000007""","""305""","""1.33e+05""",B,"""1.4329667""","""1.9957592""","""3d2.(3F).4s""","""4F""","""5/2""","""3d.4s.(1D).4p""","""2D*""","""3/2""",,"""T9506""","""L11621,L4189c12""",
Na,1,"""""","""""","""2.205329""","""0.000014""","""""","""7.29e+04""",B,"""4.3444534""","""4.9066561""","""2p6.5p""","""2P*""","""1/2""","""2p6.9s""","""2S""","""1/2""",,"""c30""","""""",
Sc,1,"""2.2058003""","""0.0000010""","""2.2058003""","""0.0000008""","""995""","""2.45e+05""",C,"""1.4478022""","""2.0098848""","""3d2.(3F).4s""","""4F""","""9/2""","""3d.4s.(3D).4p""","""4D*""","""7/2""",,"""T9506""","""L11621,L4189c12""",
Na,1,"""2.206242""","""0.000003""","""2.206248""","""0.000010""","""(40)""","""6.64e+06""",A+,"""3.1913531""","""3.7533216""","""2p6.4s""","""2S""","""1/2""","""2p6.4p""","""2P*""","""3/2""",,"""c30""","""L4740c73""",
Na,1,"""""","""""","""2.206531""","""0.000014""","""""","""1.45e+05""",B+,"""4.3447597""","""4.9066561""","""2p6.5p""","""2P*""","""3/2""","""2p6.9s""","""2S""","""1/2""",,"""c30""","""""",
Si,1,"""2.206873""","""0.000010""","""""","""""","""12""","""""",,"""""","""""","""""","""""","""""","""""","""""","""""",,"""""","""L4745""",
Sc,1,"""2.2071328""","""0.0000010""","""2.2071325""","""0.0000008""","""990""","""3.34e+05""",B+,"""1.4394858""","""2.0012291""","""3d2.(3F).4s""","""4F""","""7/2""","""3d.4s.(3D).4p""","""4D*""","""5/2""",,"""T9506""","""L11621,L4189c12""",
Na,1,"""2.208969""","""0.000003""","""2.208973""","""0.000010""","""(40)""","""6.62e+06""",A+,"""3.1913531""","""3.7526285""","""2p6.4s""","""2S""","""1/2""","""2p6.4p""","""2P*""","""1/2""",,"""c30""","""L4740c73""",
