Table 1 
IRAC Observing Log


AOR	PID	Date	3.6/5.8 Center	4.5/8.0 Center	Dimensions	Angle^a	Exp. Time^b	
		(UT)	(J2000)	(J2000)	(arcmin)	(deg)	(s)	
			04 52 09.3 +30 40 29	04 52 04.6 +30 54 07	5.3 x 5.3	88.0	31.2 HDR	
			04 51 48.0 +30 47 03	04 51 48.0 +30 47 03	5.3 x 5.3	88.0	31.2 HDR	
			04 51 49.5 +30 40 31	04 51 45.8 +30 53 50	5.3 x 5.3	88.0	31.2 HDR	
4915200	94	2004 Feb 14	04 55 03.5 +30 31 26	04 55 01.3 +30 38 13	14.3 x 19.0	177.5	52 HDR	
4916992	94	2004 Feb 14	05 04 24.7 +25 08 16	05 04 21.9 +25 15 02	10.3 x 15.0	176.0	52 HDR	
4915456	94	2004 Feb 15	04 55 03.5 +30 31 26	04 55 01.3 +30 38 13	14.3 x 19.0	177.5	52 HDR	
4917248	94	2004 Feb 16	05 04 24.7 +25 08 16	05 04 21.9 +25 15 02	10.3 x 15.0	176.0	52 HDR	
3966720	37	2004 Mar 6	04 46 59.6 +17 00 42	04 46 59.6 +17 00 42	5.3 x 5.3	83.5	31.2 HDR	
			04 47 04.0 +16 53 56	04 46 55.6 +17 07 27	5.3 x 5.3	83.5	31.2 HDR	
3963392	37	2004 Mar 7	04 30 57.0 +25 56 37	04 30 57.0 +25 56 37	5.3 x 5.3	82.0	31.2 HDR	
			04 31 02.2 +25 49 57	04 30 51.9 +26 03 18	5.3 x 5.3	82.0	31.2 HDR	
			04 30 44.2 +26 01 23	04 30 44.2 +26 01 23	5.3 x 5.3	82.0	31.2 HDR	
			04 30 49.5 +25 54 53	04 30 39.2 +26 08 05	5.3 x 5.3	82.0	31.2 HDR	
			04 30 07.4 +26 08 23	04 30 07.4 +26 08 23	5.3 x 5.3	82.0	31.2 HDR	
			04 30 12.7 +26 01 34	04 30 02.2 +26 15 05	5.3 x 5.3	82.0	31.2 HDR	
			04 29 51.4 +26 06 41	04 29 51.4 +26 06 41	5.3 x 5.3	82.0	31.2 HDR	
			04 29 56.7 +26 00 02	04 29 46.1 +26 13 23	5.3 x 5.3	82.0	31.2 HDR	
			04 29 30.1 +26 16 45	04 29 30.1 +26 16 45	5.3 x 5.3	82.0	31.2 HDR	
			04 29 35.2 +26 10 20	04 29 24.9 +26 23 26	5.3 x 5.3	82.0	31.2 HDR	
			04 29 44.1 +26 31 44	04 29 44.1 +26 31 44	5.3 x 5.3	82.0	31.2 HDR	
			04 29 48.8 +26 25 13	04 29 38.9 +26 38 27	5.3 x 5.3	82.0	31.2 HDR	
			04 29 20.9 +26 33 39	04 29 20.9 +26 33 39	5.3 x 5.3	82.0	31.2 HDR	
			04 29 25.5 +26 27 00	04 29 15.7 +26 40 20	5.3 x 5.3	82.0	31.2 HDR	
			04 29 05.1 +26 49 10	04 29 05.1 +26 49 10	5.3 x 5.3	82.0	31.2 HDR	
			04 29 10.7 +26 42 25	04 29 00.0 +26 55 52	5.3 x 5.3	82.0	31.2 HDR	
			04 31 14.6 +27 10 21	04 31 14.6 +27 10 21	5.3 x 5.3	82.0	31.2 HDR	
			04 31 19.7 +27 03 37	04 31 09.5 +27 17 05	5.3 x 5.3	82.0	31.2 HDR	
			04 27 03.1 +25 42 15	04 27 03.1 +25 42 15	5.3 x 5.3	82.0	31.2 HDR	
			04 27 07.9 +25 35 43	04 26 57.8 +25 48 58	5.3 x 5.3	82.0	31.2 HDR	
			04 26 59.3 +26 06 24	04 26 59.3 +26 06 24	5.3 x 5.3	82.0	31.2 HDR	
			04 27 04.2 +25 59 57	04 26 53.9 +26 13 07	5.3 x 5.3	82.0	31.2 HDR	
			04 27 27.7 +26 12 02	04 27 27.7 +26 12 02	5.3 x 5.3	82.0	31.2 HDR	
			04 27 33.4 +26 05 26	04 27 22.4 +26 18 46	5.3 x 5.3	82.0	31.2 HDR	
			04 27 58.2 +26 19 10	04 27 58.2 +26 19 10	5.3 x 5.3	82.0	31.2 HDR	
			04 28 02.2 +26 12 41	04 27 53.0 +26 25 52	5.3 x 5.3	82.0	31.2 HDR	
			04 26 29.4 +26 24 04	04 26 29.4 +26 24 04	5.3 x 5.3	82.0	31.2 HDR	
			04 26 34.7 +26 17 36	04 26 24.0 +26 30 48	5.3 x 5.3	82.0	31.2 HDR	
			04 25 17.3 +26 17 45	04 25 17.3 +26 17 45	5.3 x 5.3	82.0	31.2 HDR	
			04 25 23.3 +26 11 12	04 25 11.9 +26 24 26	5.3 x 5.3	82.0	31.2 HDR	
			04 24 45.1 +26 10 12	04 24 45.1 +26 10 12	5.3 x 5.3	82.0	31.2 HDR	
			04 24 50.1 +26 03 34	04 24 39.5 +26 16 57	5.3 x 5.3	82.0	31.2 HDR	
3963648	37	2004 Mar 7	04 40 09.7 +26 05 15	04 40 09.7 +26 05 15	5.3 x 5.3	82.5	31.2 HDR	
			04 40 13.8 +25 58 45	04 40 05.2 +26 11 58	5.3 x 5.3	82.5	31.2 HDR	
			04 39 50.6 +26 02 25	04 39 50.6 +26 02 25	5.3 x 5.3	82.5	31.2 HDR	
			04 39 55.6 +25 55 40	04 39 46.0 +26 09 08	5.3 x 5.3	82.5	31.2 HDR	
			04 39 13.7 +25 53 17	04 39 13.7 +25 53 17	5.3 x 5.3	82.5	31.2 HDR	
			04 39 18.4 +25 46 38	04 39 09.1 +26 00 00	5.3 x 5.3	82.5	31.2 HDR	
			04 39 21.4 +25 44 53	04 39 21.4 +25 44 53	5.3 x 5.3	82.5	31.2 HDR	
			04 39 25.5 +25 38 21	04 39 16.9 +25 51 36	5.3 x 5.3	82.5	31.2 HDR	
			04 39 36.0 +25 41 36	04 39 36.0 +25 41 36	5.3 x 5.3	82.5	31.2 HDR	
			04 39 39.4 +25 35 06	04 39 31.5 +25 48 18	5.3 x 5.3	82.5	31.2 HDR	
			04 39 56.0 +25 44 54	04 39 56.0 +25 44 54	5.3 x 5.3	82.5	31.2 HDR	
			04 40 00.6 +25 38 28	04 39 51.5 +25 51 37	5.3 x 5.3	82.5	31.2 HDR	
			04 38 28.7 +26 10 00	04 38 28.7 +26 10 00	5.3 x 5.3	82.5	31.2 HDR	
			04 38 33.0 +26 03 20	04 38 24.1 +26 16 44	5.3 x 5.3	82.5	31.2 HDR	
			04 36 19.3 +25 42 51	04 36 19.3 +25 42 51	5.3 x 5.3	82.5	31.2 HDR	
			04 36 23.6 +25 36 19	04 36 14.6 +25 49 33	5.3 x 5.3	82.5	31.2 HDR	
			04 33 39.0 +25 20 30	04 33 39.0 +25 20 30	5.3 x 5.3	82.5	31.2 HDR	
			04 33 43.9 +25 13 58	04 33 34.2 +25 27 13	5.3 x 5.3	82.5	31.2 HDR	
			04 33 54.7 +26 13 25	04 33 54.7 +26 13 25	5.3 x 5.3	82.5	31.2 HDR	
			04 34 00.0 +26 06 55	04 33 49.8 +26 20 06	5.3 x 5.3	82.5	31.2 HDR	
			04 33 36.5 +26 09 43	04 33 36.5 +26 09 43	5.3 x 5.3	82.5	31.2 HDR	
			04 33 41.8 +26 03 09	04 33 31.4 +26 16 26	5.3 x 5.3	82.5	31.2 HDR	
			04 33 14.2 +26 14 20	04 33 14.2 +26 14 20	5.3 x 5.3	82.5	31.2 HDR	
			04 33 19.3 +26 07 40	04 33 09.2 +26 21 02	5.3 x 5.3	82.5	31.2 HDR	
			04 32 43.2 +25 52 30	04 32 43.2 +25 52 30	5.3 x 5.3	82.5	31.2 HDR	
			04 32 47.6 +25 45 49	04 32 38.2 +25 59 12	5.3 x 5.3	82.5	31.2 HDR	
			04 31 58.1 +25 43 26	04 31 58.1 +25 43 26	5.3 x 5.3	82.5	31.2 HDR	
			04 32 03.5 +25 36 50	04 31 53.1 +25 50 08	5.3 x 5.3	82.5	31.2 HDR	
3966208	37	2004 Mar 8	04 20 52.8 +17 46 43	04 20 52.8 +17 46 43	5.3 x 5.3	81.5	31.2 HDR	
			04 20 58.1 +17 39 59	04 20 47.8 +17 53 26	5.3 x 5.3	81.5	31.2 HDR	
			04 18 22.3 +16 58 35	04 18 22.3 +16 58 35	5.3 x 5.3	81.5	31.2 HDR	
			04 18 26.1 +16 52 08	04 18 17.3 +17 05 17	5.3 x 5.3	81.5	31.2 HDR	
3967744	37	2004 Mar 9	04 39 16.0 +30 32 10	04 39 16.0 +30 32 10	5.3 x 5.3	83.0	31.2 HDR	
			04 39 21.4 +30 25 26	04 39 11.0 +30 38 53	5.3 x 5.3	83.0	31.2 HDR	
4913152	94	2004 Mar 9	04 34 09.3 +24 06 27	04 34 04.5 +24 13 09	10.3 x 19.0	172.3	52 HDR	
4913664	94	2004 Mar 9	04 36 14.5 +24 40 47	04 36 09.8 +24 47 30	10.3 x 15.0	172.4	52 HDR	
4914176	94	2004 Mar 9	04 40 41.0 +29 50 28	04 40 36.1 +29 57 12	6.3 x 15.0	172.5	52 HDR	
4914688	94	2004 Mar 9	04 43 32.7 +29 36 43	04 43 28.0 +29 43 25	6.3 x 15.0	173.0	52 HDR	
4913920	94	2004 Mar 11	04 36 14.5 +24 40 47	04 36 09.8 +24 47 30	10.3 x 15.0	172.4	52 HDR	
4914432	94	2004 Mar 11	04 40 41.0 +29 50 28	04 40 36.1 +29 57 12	6.3 x 15.0	172.5	52 HDR	
4914944	94	2004 Mar 11	04 43 32.7 +29 36 43	04 43 28.0 +29 43 25	6.3 x 15.0	173.0	52 HDR	
4913408	94	2004 Mar 12	04 34 09.3 +24 06 27	04 34 09.3 +24 06 27	10.3 x 19.0	172.3	52 HDR	
5075712	139	2004 Sep 7	04 28 35.6 +26 55 46	04 28 40.7 +26 49 03	5.3 x 15.0	172.0	20.8	
5076736	139	2004 Sep 7	04 29 34.7 +26 58 55	04 29 34.7 +26 58 55	5.3 x 5.3	82.0	20.8	
			04 29 30.4 +27 05 34	04 29 39.9 +26 52 12	5.3 x 5.3	82.0	20.8	
5086464	139	2004 Sep 7	04 42 36.0 +29 47 12	04 42 40.5 +29 40 28	5.3 x 19.7	173.3	20.8	
5657856	173	2004 Sep 7	04 09 22.3 +17 16 38	04 09 15.6 +17 15 40	5.6 x 5.6	80.5	20.8 HDR	
			04 09 10.4 +17 22 22	04 09 27.5 +17 09 57	5.6 x 5.6	80.5	20.8 HDR	
5658368	173	2004 Sep 7	04 18 56.7 +17 23 45	04 18 50.1 +17 22 48	5.6 x 5.6	81.5	20.8 HDR	
			04 18 45.0 +17 29 30	04 19 01.8 +17 17 03	5.6 x 5.6	81.5	20.8 HDR	
5658624	173	2004 Sep 7	04 20 29.9 +31 23 55	04 20 22.7 +31 22 56	5.6 x 5.6	81.0	20.8 HDR	
			04 20 16.7 +31 29 37	04 20 35.9 +31 17 13	5.6 x 5.6	81.0	20.8 HDR	
5658880	173	2004 Sep 7	04 24 54.1 +26 43 42	04 24 47.1 +26 42 45	5.6 x 5.6	82.0	20.8 HDR	
			04 24 41.6 +26 49 27	04 24 59.5 +26 37 02	5.6 x 5.6	82.0	20.8 HDR	
5659136	173	2004 Sep 7	04 34 40.0 +25 01 20	04 34 39.4 +25 00 31	5.6 x 5.6	82.0	20.8 HDR	
			04 34 34.8 +25 07 15	04 34 44.8 +24 54 38	5.6 x 5.6	82.0	20.8 HDR	
			04 36 01.9 +23 52 33	04 35 55.3 +23 51 38	5.6 x 5.6	82.0	20.8 HDR	
			04 35 50.8 +23 58 23	04 36 06.8 +23 45 47	5.6 x 5.6	82.0	20.8 HDR	
