Table 1 
IRAC Observing Log


AOR	PID	Date	3.6/5.8 Center	4.5/8.0 Center	Dimensions	Angle^a	Exp. Time^b	
		(UT)	(J2000)	(J2000)	(arcmin)	(deg)	(s)	
			04 34 23.6 +18 23 22	04 34 12.6 +18 36 44	5.3 x 5.3	80.0	31.2 HDR	
			04 33 55.8 +18 38 44	04 33 55.8 +18 38 44	5.3 x 5.3	80.0	31.2 HDR	
			04 34 01.1 +18 31 54	04 33 50.6 +18 45 25	5.3 x 5.3	80.0	31.2 HDR	
			04 32 22.2 +18 27 32	04 32 22.2 +18 27 32	5.3 x 5.3	80.0	31.2 HDR	
			04 32 27.9 +18 20 52	04 32 16.8 +18 34 14	5.3 x 5.3	80.0	31.2 HDR	
			04 30 04.6 +18 13 45	04 30 04.6 +18 13 45	5.3 x 5.3	80.0	31.2 HDR	
			04 30 09.5 +18 07 15	04 29 59.1 +18 20 25	5.3 x 5.3	80.0	31.2 HDR	
			04 27 10.7 +17 50 40	04 27 10.7 +17 50 40	5.3 x 5.3	80.0	31.2 HDR	
			04 27 16.1 +17 43 58	04 27 05.0 +17 57 21	5.3 x 5.3	80.0	31.2 HDR	
3962880	37	2005 Feb 20	04 19 01.4 +28 02 44	04 19 01.4 +28 02 44	5.3 x 5.3	83.0	31.2 HDR	
			04 19 05.7 +27 56 07	04 18 56.5 +28 09 28	5.3 x 5.3	83.0	31.2 HDR	
			04 17 38.9 +28 32 59	04 17 38.9 +28 32 59	5.3 x 5.3	83.0	31.2 HDR	
			04 17 44.2 +28 26 13	04 17 34.1 +28 39 41	5.3 x 5.3	83.0	31.2 HDR	
			04 19 15.7 +29 06 27	04 19 15.7 +29 06 27	5.3 x 5.3	83.0	31.2 HDR	
			04 19 21.2 +28 59 38	04 19 11.0 +29 13 10	5.3 x 5.3	83.0	31.2 HDR	
			04 15 14.6 +28 00 08	04 15 14.6 +28 00 08	5.3 x 5.3	83.0	31.2 HDR	
			04 15 19.9 +27 53 23	04 15 09.5 +28 06 51	5.3 x 5.3	83.0	31.2 HDR	
			04 14 48.4 +27 52 40	04 14 48.4 +27 52 40	5.3 x 5.3	83.0	31.2 HDR	
			04 14 53.2 +27 45 48	04 14 43.3 +27 59 24	5.3 x 5.3	83.0	31.2 HDR	
			04 13 27.3 +28 16 23	04 13 27.3 +28 16 23	5.3 x 5.3	83.0	31.2 HDR	
			04 13 32.4 +28 09 37	04 13 22.3 +28 23 06	5.3 x 5.3	83.0	31.2 HDR	
			04 13 14.3 +28 19 09	04 13 14.3 +28 19 09	5.3 x 5.3	83.0	31.2 HDR	
			04 13 19.5 +28 12 33	04 13 09.2 +28 25 52	5.3 x 5.3	83.0	31.2 HDR	
			04 13 58.1 +29 18 16	04 13 58.1 +29 18 16	5.3 x 5.3	83.0	31.2 HDR	
			04 14 02.4 +29 11 43	04 13 53.1 +29 24 58	5.3 x 5.3	83.0	31.2 HDR	
3963136	37	2005 Feb 20	04 24 44.8 +27 01 41	04 24 44.8 +27 01 41	5.3 x 5.3	83.5	31.2 HDR	
			04 24 49.8 +26 55 03	04 24 40.2 +27 08 25	5.3 x 5.3	83.5	31.2 HDR	
			04 24 57.0 +27 11 54	04 24 57.0 +27 11 54	5.3 x 5.3	83.5	31.2 HDR	
			04 25 01.9 +27 05 10	04 24 52.4 +27 18 38	5.3 x 5.3	83.5	31.2 HDR	
			04 22 02.6 +26 57 36	04 22 02.6 +26 57 36	5.3 x 5.3	83.5	31.2 HDR	
			04 22 07.1 +26 50 44	04 21 57.8 +27 04 20	5.3 x 5.3	83.5	31.2 HDR	
			04 21 10.2 +27 01 39	04 21 10.2 +27 01 39	5.3 x 5.3	83.5	31.2 HDR	
			04 21 15.2 +26 55 02	04 21 05.4 +27 08 22	5.3 x 5.3	83.5	31.2 HDR	
			04 19 58.2 +27 09 58	04 19 58.2 +27 09 58	5.3 x 5.3	83.5	31.2 HDR	
			04 20 04.5 +27 03 09	04 19 53.4 +27 16 39	5.3 x 5.3	83.5	31.2 HDR	
			04 19 43.6 +27 13 30	04 19 43.6 +27 13 30	5.3 x 5.3	83.5	31.2 HDR	
			04 19 47.8 +27 06 59	04 19 38.8 +27 20 14	5.3 x 5.3	83.5	31.2 HDR	
			04 19 41.5 +27 49 48	04 19 41.5 +27 49 48	5.3 x 5.3	83.5	31.2 HDR	
			04 19 45.6 +27 43 04	04 19 36.8 +27 56 29	5.3 x 5.3	83.5	31.2 HDR	
			04 21 55.7 +27 55 03	04 21 55.7 +27 55 03	5.3 x 5.3	83.5	31.2 HDR	
			04 22 00.4 +27 48 17	04 21 51.0 +28 01 48	5.3 x 5.3	83.5	31.2 HDR	
			04 23 11.7 +28 05 59	04 23 11.7 +28 05 59	5.3 x 5.3	83.5	31.2 HDR	
			04 23 16.6 +27 59 14	04 23 07.1 +28 12 44	5.3 x 5.3	83.5	31.2 HDR	
			04 21 59.1 +28 18 13	04 21 59.1 +28 18 13	5.3 x 5.3	83.5	31.2 HDR	
			04 22 03.4 +28 11 27	04 21 54.4 +28 24 58	5.3 x 5.3	83.5	31.2 HDR	
			04 22 00.4 +28 26 04	04 22 00.4 +28 26 04	5.3 x 5.3	83.5	31.2 HDR	
			04 22 04.6 +28 19 26	04 21 55.8 +28 32 49	5.3 x 5.3	83.5	31.2 HDR	
3964160	37	2005 Feb 20	04 39 17.9 +22 20 58	04 39 17.9 +22 20 58	5.3 x 5.3	83.0	31.2 HDR	
			04 39 22.0 +22 14 23	04 39 13.3 +22 27 42	5.3 x 5.3	83.0	31.2 HDR	
			04 39 17.8 +22 47 45	04 39 17.8 +22 47 45	5.3 x 5.3	83.0	31.2 HDR	
			04 39 21.9 +22 41 19	04 39 13.3 +22 54 28	5.3 x 5.3	83.0	31.2 HDR	
			04 35 20.3 +22 32 10	04 35 20.3 +22 32 10	5.3 x 5.3	83.0	31.2 HDR	
			04 35 24.7 +22 25 31	04 35 15.6 +22 38 53	5.3 x 5.3	83.0	31.2 HDR	
			04 35 42.2 +22 34 09	04 35 42.2 +22 34 09	5.3 x 5.3	83.0	31.2 HDR	
			04 35 46.1 +22 27 28	04 35 37.4 +22 40 54	5.3 x 5.3	83.0	31.2 HDR	
			04 36 39.1 +22 58 10	04 36 39.1 +22 58 10	5.3 x 5.3	83.0	31.2 HDR	
			04 36 43.1 +22 51 30	04 36 34.6 +23 04 54	5.3 x 5.3	83.0	31.2 HDR	
			04 36 10.4 +22 59 56	04 36 10.4 +22 59 56	5.3 x 5.3	83.0	31.2 HDR	
			04 36 14.9 +22 53 10	04 36 05.8 +23 06 37	5.3 x 5.3	83.0	31.2 HDR	
			04 35 52.7 +22 54 21	04 35 52.7 +22 54 21	5.3 x 5.3	83.0	31.2 HDR	
			04 35 57.5 +22 47 37	04 35 48.1 +23 01 04	5.3 x 5.3	83.0	31.2 HDR	
			04 35 51.1 +22 49 09	04 35 51.1 +22 49 09	5.3 x 5.3	83.0	31.2 HDR	
			04 35 56.2 +22 42 31	04 35 46.6 +22 55 52	5.3 x 5.3	83.0	31.2 HDR	
			04 35 21.1 +22 54 23	04 35 21.1 +22 54 23	5.3 x 5.3	83.0	31.2 HDR	
			04 35 25.9 +22 47 44	04 35 16.4 +23 01 05	5.3 x 5.3	83.0	31.2 HDR	
			04 34 13.4 +22 51 13	04 34 13.4 +22 51 13	5.3 x 5.3	83.0	31.2 HDR	
			04 34 18.1 +22 44 27	04 34 08.6 +22 57 56	5.3 x 5.3	83.0	31.2 HDR	
			04 33 52.5 +22 50 36	04 33 52.5 +22 50 36	5.3 x 5.3	83.0	31.2 HDR	
			04 33 56.9 +22 43 43	04 33 47.6 +22 57 18	5.3 x 5.3	83.0	31.2 HDR	
			04 33 16.2 +22 53 23	04 33 16.2 +22 53 23	5.3 x 5.3	83.0	31.2 HDR	
			04 33 21.7 +22 46 31	04 33 11.6 +23 00 04	5.3 x 5.3	83.0	31.2 HDR	
			04 33 19.1 +22 46 36	04 33 19.1 +22 46 36	5.3 x 5.3	83.0	31.2 HDR	
			04 33 24.2 +22 39 46	04 33 14.5 +22 53 15	5.3 x 5.3	83.0	31.2 HDR	
			04 32 49.2 +22 53 01	04 32 49.2 +22 53 01	5.3 x 5.3	83.0	31.2 HDR	
			04 32 54.0 +22 46 13	04 32 45.7 +22 59 49	5.3 x 5.3	83.0	31.2 HDR	
			04 32 32.6 +22 57 23	04 32 32.6 +22 57 23	5.3 x 5.3	83.0	31.2 HDR	
			04 32 36.8 +22 50 51	04 32 27.9 +23 04 06	5.3 x 5.3	83.0	31.2 HDR	
3964416	37	2005 Feb 20	04 30 50.4 +22 59 57	04 30 50.4 +22 59 57	5.3 x 5.3	82.5	31.2 HDR	
			04 30 54.9 +22 53 31	04 30 45.4 +23 06 41	5.3 x 5.3	82.5	31.2 HDR	
			04 35 40.7 +24 11 05	04 35 40.7 +24 11 05	5.3 x 5.3	82.5	31.2 HDR	
			04 35 45.4 +24 04 28	04 35 36.2 +24 17 49	5.3 x 5.3	82.5	31.2 HDR	
			04 35 36.0 +24 08 12	04 35 36.0 +24 08 12	5.3 x 5.3	82.5	31.2 HDR	
			04 35 39.9 +24 01 44	04 35 31.5 +24 14 56	5.3 x 5.3	82.5	31.2 HDR	
			04 35 27.7 +24 14 57	04 35 27.7 +24 14 57	5.3 x 5.3	82.5	31.2 HDR	
			04 35 31.5 +24 08 18	04 35 23.2 +24 21 40	5.3 x 5.3	82.5	31.2 HDR	
			04 34 55.7 +24 29 00	04 34 55.7 +24 29 00	5.3 x 5.3	82.5	31.2 HDR	
			04 35 00.0 +24 22 11	04 34 51.2 +24 35 45	5.3 x 5.3	82.5	31.2 HDR	
			04 33 06.4 +24 09 30	04 33 06.4 +24 09 30	5.3 x 5.3	82.5	31.2 HDR	
			04 33 10.5 +24 02 52	04 33 01.8 +24 16 11	5.3 x 5.3	82.5	31.2 HDR	
			04 33 10.1 +24 33 43	04 33 10.1 +24 33 43	5.3 x 5.3	82.5	31.2 HDR	
			04 33 14.4 +24 26 57	04 33 05.6 +24 40 25	5.3 x 5.3	82.5	31.2 HDR	
			04 33 34.5 +24 21 03	04 33 34.5 +24 21 03	5.3 x 5.3	82.5	31.2 HDR	
			04 33 39.3 +24 14 19	04 33 30.1 +24 27 47	5.3 x 5.3	82.5	31.2 HDR	
			04 33 02.4 +24 21 06	04 33 02.4 +24 21 06	5.3 x 5.3	82.5	31.2 HDR	
			04 33 06.7 +24 14 13	04 32 57.9 +24 27 48	5.3 x 5.3	82.5	31.2 HDR	
			04 32 31.9 +24 19 58	04 32 31.9 +24 19 58	5.3 x 5.3	82.5	31.2 HDR	
			04 32 36.7 +24 13 15	04 32 27.5 +24 26 43	5.3 x 5.3	82.5	31.2 HDR	
			04 32 15.7 +24 28 58	04 32 15.7 +24 28 58	5.3 x 5.3	82.5	31.2 HDR	
			04 32 20.0 +24 22 18	04 32 11.0 +24 35 40	5.3 x 5.3	82.5	31.2 HDR	
			04 32 18.7 +24 22 26	04 32 18.7 +24 22 26	5.3 x 5.3	82.5	31.2 HDR	
			04 32 22.9 +24 15 44	04 32 14.2 +24 29 09	5.3 x 5.3	82.5	31.2 HDR	
			04 31 50.5 +24 24 19	04 31 50.5 +24 24 19	5.3 x 5.3	82.5	31.2 HDR	
			04 31 55.9 +24 17 31	04 31 45.9 +24 31 04	5.3 x 5.3	82.5	31.2 HDR	
			04 31 23.9 +24 10 49	04 31 23.9 +24 10 49	5.3 x 5.3	82.5	31.2 HDR	
			04 31 28.1 +24 04 11	04 31 19.2 +24 17 31	5.3 x 5.3	82.5	31.2 HDR	
			04 30 29.8 +24 26 43	04 30 29.8 +24 26 43	5.3 x 5.3	82.5	31.2 HDR	
			04 30 34.4 +24 19 55	04 30 25.1 +24 33 25	5.3 x 5.3	82.5	31.2 HDR	
3965952	37	2005 Feb 20	04 22 00.1 +19 32 02	04 22 00.1 +19 32 02	5.3 x 5.3	80.5	31.2 HDR	
			04 22 05.0 +19 25 33	04 21 54.5 +19 38 42	5.3 x 5.3	80.5	31.2 HDR	
			04 21 43.0 +19 34 14	04 21 43.0 +19 34 14	5.3 x 5.3	80.5	31.2 HDR	
			04 21 49.5 +19 27 29	04 21 37.5 +19 40 54	5.3 x 5.3	80.5	31.2 HDR	
3966976	37	2005 Feb 20	04 04 43.6 +26 18 52	04 04 43.6 +26 18 52	5.3 x 5.3	80.5	31.2 HDR	
			04 04 48.6 +26 12 23	04 04 37.8 +26 25 34	5.3 x 5.3	80.5	31.2 HDR	
			04 03 50.7 +26 10 56	04 03 50.7 +26 10 56	5.3 x 5.3	80.5	31.2 HDR	
			04 03 57.4 +26 04 10	04 03 44.9 +26 17 35	5.3 x 5.3	80.5	31.2 HDR	
			04 03 14.1 +25 52 58	04 03 14.1 +25 52 58	5.3 x 5.3	80.5	31.2 HDR	
			04 03 20.1 +25 46 23	04 03 08.2 +25 59 37	5.3 x 5.3	80.5	31.2 HDR	
4912896	94	2005 Feb 20	04 10 55.7 +25 05 43	04 10 50.1 +25 12 24	10.4 x 23.0	170.9	52 HDR	
11233024	3584	2005 Feb 20	04 28 07.7 +24 14 06	04 28 03.2 +24 20 49	34.2 x 184.2	172.8	10.4 HDR	
11233536	3584	2005 Feb 20	04 25 34.4 +24 09 36	04 25 29.4 +24 16 19	34.2 x 184.0	172.6	10.4 HDR	
11236864	3584	2005 Feb 20	04 28 07.7 +24 14 06	04 28 03.2 +24 20 49	34.2 x 184.2	172.8	10.4 HDR	
11237376	3584	2005 Feb 20	04 25 34.4 +24 09 36	04 25 29.4 +24 16 19	34.2 x 184.0	172.6	10.4 HDR	
11237632	3584	2005 Feb 20	04 19 22.5 +27 47 24	04 19 17.9 +27 54 11	63.3 x 82.5	172.4	10.4 HDR	
12663552	37	2005 Feb 20	04 57 48.9 +30 15 17	04 57 48.9 +30 15 17	5.3 x 5.3	88.0	31.2	
			04 57 51.2 +30 08 28	04 57 46.8 +30 22 04	5.3 x 5.3	88.0	31.2	
			04 55 52.7 +30 06 51	04 55 52.7 +30 06 51	5.3 x 5.3	88.0	31.2	
			04 55 55.8 +30 00 00	04 55 50.3 +30 13 39	5.3 x 5.3	88.0	31.2	
			04 55 45.3 +30 19 35	04 55 45.3 +30 19 35	5.3 x 5.3	88.0	31.2	
			04 55 48.1 +30 12 47	04 55 43.3 +30 26 19	5.3 x 5.3	88.0	31.2	
			04 55 48.7 +30 28 01	04 55 48.7 +30 28 01	5.3 x 5.3	88.0	31.2	
			04 55 50.2 +30 21 26	04 55 46.6 +30 34 46	5.3 x 5.3	88.0	31.2	
			04 55 23.5 +30 27 32	04 55 23.5 +30 27 32	5.3 x 5.3	88.0	31.2	
			04 55 25.4 +30 20 42	04 55 21.4 +30 34 21	5.3 x 5.3	88.0	31.2	
			04 55 40.7 +30 39 04	04 55 40.7 +30 39 04	5.3 x 5.3	88.0	31.2	
			04 55 42.9 +30 32 25	04 55 38.6 +30 45 50	5.3 x 5.3	88.0	31.2	
			04 55 56.8 +30 49 41	04 55 56.8 +30 49 41	5.3 x 5.3	88.0	31.2	
			04 55 58.7 +30 42 45	04 55 54.8 +30 56 29	5.3 x 5.3	88.0	31.2	
12914944	3584	2005 Feb 20	04 33 09.7 +28 56 14	04 33 05.8 +29 02 57	53.7 x 121.3	174.4	10.4 HDR	
12915712	3584	2005 Feb 20	04 33 09.7 +28 56 14	04 33 05.8 +29 02 57	53.7 x 121.3	174.4	10.4 HDR	
11231488	3584	2005 Feb 21	04 36 21.8 +24 05 29	04 36 18.2 +24 12 08	39.1 x 150.4	173.4	10.4 HDR	
11232000	3584	2005 Feb 21	04 33 15.1 +24 22 30	04 33 10.8 +24 29 15	39.0 x 184.2	173.0	10.4 HDR	
11233280	3584	2005 Feb 21	04 23 49.0 +27 07 42	04 23 43.6 +27 14 24	34.2 x 184.0	172.1	10.4 HDR	
11233792	3584	2005 Feb 21	04 19 22.5 +27 47 24	04 19 17.9 +27 54 11	63.3 x 82.5	172.4	10.4 HDR	
11235328	3584	2005 Feb 21	04 36 21.8 +24 05 29	04 36 18.2 +24 12 08	39.1 x 150.4	173.4	10.4 HDR	
11235840	3584	2005 Feb 21	04 33 15.1 +24 22 30	04 33 10.8 +24 29 15	39.0 x 184.2	173.0	10.4 HDR	
11237120	3584	2005 Feb 21	04 23 49.0 +27 07 42	04 23 43.6 +27 14 24	34.2 x 184.0	172.1	10.4 HDR	
3653376	6	2005 Feb 22	04 18 40.7 +28 16 42	04 18 35.9 +28 23 24	28.6 x 33.2	171.8	20.8 HDR	
3653632	6	2005 Feb 22	04 16 36.8 +28 14 27	04 16 31.7 +28 21 09	28.6 x 33.2	171.8	20.8 HDR	
5657600	173	2005 Feb 22	04 05 25.7 +21 50 40	04 05 32.3 +21 51 39	5.6 x 5.6	80.0	20.8 HDR	
			04 05 38.2 +21 44 57	04 05 19.6 +21 57 21	5.6 x 5.6	80.0	20.8 HDR	
11230720	3584	2005 Feb 22	04 39 18.8 +24 31 41	04 39 14.7 +24 38 23	48.7 x 121.4	173.3	10.4 HDR	
11231232	3584	2005 Feb 22	04 35 07.1 +26 34 29	04 35 02.8 +26 41 11	39.1 x 155.1	173.2	10.4 HDR	
11232768	3584	2005 Feb 22	04 26 25.5 +27 12 14	04 26 20.6 +27 18 54	34.2 x 184.2	172.4	10.4 HDR	
11234560	3584	2005 Feb 22	04 39 18.8 +24 31 41	04 39 14.7 +24 38 23	48.7 x 121.4	173.3	10.4 HDR	
11235072	3584	2005 Feb 22	04 35 07.1 +26 34 29	04 35 02.8 +26 41 11	39.1 x 155.1	173.2	10.4 HDR	
11236608	3584	2005 Feb 22	04 26 25.5 +27 12 14	04 26 20.6 +27 18 54	34.2 x 184.2	172.4	10.4 HDR	
3964672	37	2005 Feb 23	04 30 51.5 +24 42 20	04 30 51.5 +24 42 20	5.3 x 5.3	82.0	31.2 HDR	
			04 30 56.4 +24 35 42	04 30 46.9 +24 49 03	5.3 x 5.3	82.0	31.2 HDR	
			04 29 07.5 +24 43 49	04 29 07.5 +24 43 49	5.3 x 5.3	82.0	31.2 HDR	
			04 29 13.2 +24 37 01	04 29 02.8 +24 50 32	5.3 x 5.3	82.0	31.2 HDR	
			04 29 24.4 +24 32 56	04 29 24.4 +24 32 56	5.3 x 5.3	82.0	31.2 HDR	
			04 29 28.4 +24 26 24	04 29 19.6 +24 39 38	5.3 x 5.3	82.0	31.2 HDR	
			04 26 56.4 +24 43 34	04 26 56.4 +24 43 34	5.3 x 5.3	82.0	31.2 HDR	
			04 27 01.2 +24 36 47	04 26 51.6 +24 50 16	5.3 x 5.3	82.0	31.2 HDR	
			04 23 39.3 +24 56 13	04 23 39.3 +24 56 13	5.3 x 5.3	82.0	31.2 HDR	
			04 23 44.5 +24 49 27	04 23 34.3 +25 02 55	5.3 x 5.3	82.0	31.2 HDR	
11230208	3584	2005 Feb 23	04 47 59.0 +24 58 48	04 47 55.6 +25 05 32	63.3 x 174.3	174.6	10.4 HDR	
11230464	3584	2005 Feb 23	04 43 18.2 +25 07 31	04 43 14.5 +25 14 13	58.5 x 174.4	174.0	10.4 HDR	
11230976	3584	2005 Feb 23	04 38 21.2 +26 30 59	04 38 17.1 +26 37 42	48.7 x 121.3	173.1	10.4 HDR	
11232256	3584	2005 Feb 23	04 29 01.8 +27 16 37	04 28 57.2 +27 23 25	34.2 x 189.0	172.6	10.4 HDR	
11234304	3584	2005 Feb 23	04 43 18.2 +25 07 31	04 43 14.5 +25 14 13	58.5 x 174.4	174.0	10.4 HDR	
11234816	3584	2005 Feb 23	04 38 21.2 +26 30 59	04 38 17.1 +26 37 42	48.7 x 121.3	173.1	10.4 HDR	
11231744	3584	2005 Feb 24	04 31 39.4 +27 20 58	04 31 34.8 +27 27 43	39.1 x 198.8	172.6	10.4 HDR	
11232512	3584	2005 Feb 24	04 30 43.1 +24 18 04	04 30 38.4 +24 24 47	34.4 x 184.2	172.9	10.4 HDR	
11234048	3584	2005 Feb 24	04 47 59.0 +24 58 48	04 47 55.6 +25 05 32	63.3 x 174.3	174.6	10.4 HDR	
11235584	3584	2005 Feb 24	04 31 39.4 +27 20 58	04 31 34.8 +27 27 43	39.1 x 198.8	172.6	10.4 HDR	
11236096	3584	2005 Feb 24	04 29 01.8 +27 16 37	04 28 57.2 +27 23 25	34.2 x 189.0	172.6	10.4 HDR	
11236352	3584	2005 Feb 24	04 30 43.1 +24 18 04	04 30 38.4 +24 24 47	34.4 x 184.2	172.9	10.4 HDR	
14604544	20386	2005 Sep 16	04 23 36.8 +26 40 12	04 23 36.8 +26 40 12	5.3 x 5.3	81.0	214.4 HDR	
			04 23 31.1 +26 46 51	04 23 42.3 +26 33 31	5.3 x 5.3	81.0	214.4 HDR	
14604800	20386	2005 Sep 17	04 23 36.8 +26 40 12	04 23 36.8 +26 40 12	5.3 x 5.3	81.0	214.4 HDR	
			04 23 31.1 +26 46 51	04 23 42.3 +26 33 31	5.3 x 5.3	81.0	214.4 HDR	
14617856	20386	2005 Sep 17	04 21 56.7 +15 29 54	04 21 56.7 +15 29 54	5.3 x 5.3	82.0	214.4 HDR	
			04 21 52.0 +15 36 33	04 22 01.4 +15 23 09	5.3 x 5.3	82.0	214.4 HDR	
14618112	20386	2005 Sep 17	04 21 56.7 +15 29 54	04 21 56.7 +15 29 54	5.3 x 5.3	82.0	214.4 HDR	
			04 21 52.0 +15 36 33	04 22 01.4 +15 23 09	5.3 x 5.3	82.0	214.4 HDR	
15123456	20762	2006 Mar 23	04 31 10.0 +18 12 36	04 31 10.0 +18 12 36	5.5 x 5.5	82.7	241.2	
			04 31 14.5 +18 05 57	04 31 05.7 +18 19 19	5.5 x 5.5	82.7	241.2	
14605568	20386	2006 Mar 24	04 28 39.2 +26 51 39	04 28 39.2 +26 51 39	5.3 x 5.3	81.5	214.4 HDR	
			04 28 44.6 +26 45 01	04 28 33.8 +26 58 22	5.3 x 5.3	81.5	214.4 HDR	
14609920	20386	2006 Mar 24	04 29 21.3 +26 14 25	04 29 21.3 +26 14 25	5.3 x 5.3	81.5	214.4 HDR	
			04 29 26.5 +26 07 46	04 29 16.0 +26 21 07	5.3 x 5.3	81.5	214.4 HDR	
14511616	20302	2006 Mar 25	04 35 09.5 +24 05 44	04 35 04.7 +24 12 28	20.3 x 32.6	172.7	72.8	
14605824	20386	2006 Mar 25	04 28 39.2 +26 51 39	04 28 39.2 +26 51 39	5.3 x 5.3	81.5	214.4 HDR	
			04 28 44.6 +26 45 01	04 28 33.8 +26 58 22	5.3 x 5.3	81.5	214.4 HDR	
14610176	20386	2006 Mar 25	04 29 21.3 +26 14 25	04 29 21.3 +26 14 25	5.3 x 5.3	81.5	214.4 HDR	
			04 29 26.5 +26 07 46	04 29 16.0 +26 21 07	5.3 x 5.3	81.5	214.4 HDR	
14611968	20386	2006 Mar 25	04 32 49.0 +24 25 18	04 32 49.0 +24 25 18	5.3 x 5.3	82.4	214.4 HDR	
			04 32 53.8 +24 18 35	04 32 44.0 +24 31 59	5.3 x 5.3	82.4	214.4 HDR	
14612224	20386	2006 Mar 26	04 32 49.0 +24 25 18	04 32 49.0 +24 25 18	5.3 x 5.3	82.4	214.4 HDR	
			04 32 53.8 +24 18 35	04 32 44.0 +24 31 59	5.3 x 5.3	82.4	214.4 HDR	
14610432	20386	2006 Mar 29	05 04 16.8 +25 10 53	05 04 16.8 +25 10 53	5.3 x 5.3	85.5	214.4 HDR	
			05 04 20.1 +25 04 09	05 04 13.6 +25 17 40	5.3 x 5.3	85.5	214.4 HDR	
14610688	20386	2006 Mar 29	05 04 16.8 +25 10 53	05 04 16.8 +25 10 53	5.3 x 5.3	85.5	214.4 HDR	
			05 04 20.1 +25 04 09	05 04 13.6 +25 17 40	5.3 x 5.3	85.5	214.4 HDR	
18365440	30540	2006 Sep 28	04 22 16.0 +25 49 13	04 22 16.0 +25 49 13	5.5 x 5.5	81.0	52	
			04 22 10.5 +25 55 49	04 22 21.6 +25 42 33	5.5 x 5.5	81.0	52	
18365696	30540	2006 Sep 28	04 15 23.7 +29 10 46	04 15 23.7 +29 10 46	5.5 x 5.5	79.5	134	
			04 15 17.3 +29 17 19	04 15 30.1 +29 04 05	5.5 x 5.5	79.5	134	
18363648	30540	2006 Oct 26	04 57 48.5 +30 15 20	04 57 48.5 +30 15 20	5.5 x 5.5	81.5	134	
			04 57 43.3 +30 22 00	04 57 53.9 +30 08 40	5.5 x 5.5	81.5	134	
18365952	30540	2006 Oct 26	04 48 41.5 +17 03 41	04 48 41.5 +17 03 41	5.5 x 5.5	87.5	134	
			04 48 39.5 +17 10 22	04 48 43.5 +16 56 50	5.5 x 5.5	87.5	134	
18363904	30540	2007 Mar 28	04 26 30.8 +24 43 59	04 26 30.8 +24 43 59	5.5 x 5.5	81.5	134	
			04 26 36.1 +24 37 18	04 26 25.8 +24 50 36	5.5 x 5.5	81.5	134	
18364160	30540	2007 Mar 28	04 41 45.2 +23 01 50	04 41 45.2 +23 01 50	5.5 x 5.5	83.3	134	
			04 41 49.5 +22 55 13	04 41 40.9 +23 08 36	5.5 x 5.5	83.3	134	
18364416	30540	2007 Mar 28	04 21 54.9 +26 52 34	04 21 54.9 +26 52 34	5.5 x 5.5	81.0	134	
			04 22 00.5 +26 45 56	04 21 49.3 +26 59 12	5.5 x 5.5	81.0	134	
18364672	30540	2007 Mar 28	04 36 10.7 +21 59 36	04 36 10.7 +21 59 36	5.5 x 5.5	82.5	134	
			04 36 15.2 +21 52 57	04 36 06.2 +22 06 18	5.5 x 5.5	82.5	134	
18364928	30540	2007 Mar 28	04 14 33.5 +30 33 41	04 14 33.5 +30 33 41	5.5 x 5.5	80.0	134	
			04 14 39.8 +30 27 08	04 14 27.0 +30 40 20	5.5 x 5.5	80.0	134	
19030528	30816	2007 Mar 28	04 18 49.9 +25 02 50	04 18 43.8 +25 09 31	36.7 x 185.0	170.3	10.4 HDR	
18365184	30540	2007 Mar 29	04 22 13.7 +19 34 42	04 22 13.7 +19 34 42	5.5 x 5.5	81.5	52	
			04 22 18.7 +19 28 03	04 22 08.8 +19 41 22	5.5 x 5.5	81.5	52	
18366208	30540	2007 Mar 29	04 55 23.7 +30 27 38	04 55 23.7 +30 27 38	5.5 x 5.5	85.0	52	
			04 55 27.3 +30 20 56	04 55 20.1 +30 34 23	5.5 x 5.5	85.0	52	
18366464	30540	2007 Mar 29	04 33 09.9 +22 46 49	04 33 09.9 +22 46 49	5.5 x 5.5	82.5	52	
			04 33 14.4 +22 40 12	04 33 05.1 +22 53 33	5.5 x 5.5	82.5	52	
19027712	30816	2007 Mar 29	04 19 08.8 +29 07 47	04 19 02.9 +29 14 26	51.2 x 80.2	170.2	10.4 HDR	
19027968	30816	2007 Mar 29	04 19 08.8 +29 07 47	04 19 02.9 +29 14 26	51.2 x 80.2	170.2	10.4 HDR	
19028736	30816	2007 Mar 29	04 23 03.9 +23 34 20	04 22 58.6 +23 41 01	51.2 x 118.3	170.9	10.4 HDR	
19030784	30816	2007 Mar 29	04 13 46.3 +28 11 03	04 13 39.8 +28 17 42	36.7 x 186.7	169.9	10.4 HDR	
19031040	30816	2007 Mar 29	04 16 05.7 +25 12 53	04 16 00.0 +25 19 34	36.7 x 185.0	170.2	10.4 HDR	
19034112	30816	2007 Mar 29	04 18 49.9 +25 02 50	04 18 43.8 +25 09 31	36.7 x 185.0	170.3	10.4 HDR	
19034368	30816	2007 Mar 29	04 13 46.3 +28 11 03	04 13 39.8 +28 17 42	36.7 x 186.7	169.9	10.4 HDR	
19028224	30816	2007 Mar 30	04 21 42.1 +25 32 21	04 21 36.6 +25 39 01	51.2 x 117.3	170.8	10.4 HDR	
19028480	30816	2007 Mar 30	04 21 42.1 +25 32 21	04 21 36.6 +25 39 01	51.2 x 117.3	170.8	10.4 HDR	
