,NAME,OBJNAME_super,OBJNAME_recipe,MAIN_ID,CIVIL,RA,DEC,FILENAME,SNRH_pix,SNRH_res,SNRK_pix,SNRK_res,U,B,V,R,G,I,PASTEL_Teff,PASTEL_logg,PASTEL_[Fe/H],PASTEL_Flag,FILE_URL,CAL_URL,RAW_URL
185,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20171121,64.69245833333332,28.3375,SDCH_20171121_0031.fits,83.13063049316406,160,87.60270690917969,167,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/teu11g5yjttt2wow1zpohlcowfe23x3u.gz,https://utexas.box.com/shared/static/g0igx52sphz95pmgs052xqnls8amvbm5.gz,https://utexas.box.com/s/eaij7j0zh6tnd5rp3opzog36ooqguwfb
186,V* V1312 Tau,LkCa 5,LkCa 5 ,V* V1312 Tau,20171122,64.40962499999999,28.55108333333333,SDCH_20171122_0011.fits,55.92534637451172,107,47.49565887451172,91,,15.56999969482422,13.260000228881836,13.119999885559082,12.671600341796877,,,,,,https://utexas.box.com/shared/static/col45w8vmzd992saglrm7ilio3i8c3ga.gz,https://utexas.box.com/shared/static/goh9v2gkvhxetqws28bg2giotm8ku40x.gz,https://utexas.box.com/s/hfs5vaalfsztjeryhx51yja70a2awckb
187,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20171122,68.05795833333332,18.338444444444445,SDCH_20171122_0019.fits,63.27170181274414,122,59.304931640625,113,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/80nttbf8yl8m975q6j3yjw5nvoqre2eg.gz,https://utexas.box.com/shared/static/goh9v2gkvhxetqws28bg2giotm8ku40x.gz,https://utexas.box.com/s/hfs5vaalfsztjeryhx51yja70a2awckb
188,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20171122,68.29004166666667,24.56286111111111,SDCH_20171122_0021.fits,80.05262756347656,154,69.79861450195312,133,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/d9j23qgw3ljyxcv7e8k7l7lklz21kw5n.gz,https://utexas.box.com/shared/static/goh9v2gkvhxetqws28bg2giotm8ku40x.gz,https://utexas.box.com/s/hfs5vaalfsztjeryhx51yja70a2awckb
189,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20171122,64.69179166666665,28.33633333333333,SDCH_20171122_0035.fits,70.22349548339844,135,70.29805755615234,134,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/8tmfzjxdl1yrzyduunn7h6ofugzywv8k.gz,https://utexas.box.com/shared/static/goh9v2gkvhxetqws28bg2giotm8ku40x.gz,https://utexas.box.com/s/hfs5vaalfsztjeryhx51yja70a2awckb
190,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20171209,64.69283333333333,28.336166666666667,SDCH_20171209_0039.fits,65.554931640625,127,63.10021209716797,122,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/422zooabav4zrmqe2cp67gui5vm45n9a.gz,https://utexas.box.com/shared/static/rvi0p86zm30aybvpxhjr5g7q025vamn1.gz,https://utexas.box.com/s/gbu40bjl57pok9flkyalgwwmh72uws3b
191,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20171209,68.28824999999999,24.56308333333333,SDCH_20171209_0045.fits,68.03948974609375,131,58.39414978027344,112,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/pysukwa667x92la5j8uorxpklxm54ner.gz,https://utexas.box.com/shared/static/rvi0p86zm30aybvpxhjr5g7q025vamn1.gz,https://utexas.box.com/s/gbu40bjl57pok9flkyalgwwmh72uws3b
192,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20171209,68.05699999999999,18.33888888888889,SDCH_20171209_0047.fits,52.0185775756836,100,48.94081878662109,94,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/4jg77xszyucasdhewaiqc76miceqf7ar.gz,https://utexas.box.com/shared/static/rvi0p86zm30aybvpxhjr5g7q025vamn1.gz,https://utexas.box.com/s/gbu40bjl57pok9flkyalgwwmh72uws3b
193,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20171213,68.057125,18.339416666666665,SDCH_20171213_0021.fits,51.86915588378906,100,49.10448455810547,94,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/qwyoyxr90kp5o3drctvljcod454pkmfa.gz,https://utexas.box.com/shared/static/s0bl48b2znv3909crhfyztaebh6gbtzy.gz,https://utexas.box.com/s/u0wmpsako62ldj08i3o0egrn9d5mcgnu
194,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20171213,64.69212499999999,28.337666666666667,SDCH_20171213_0027.fits,83.15596771240234,160,84.12162780761719,162,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/eemc2hlwadl3mojysazztdwlccd9mud5.gz,https://utexas.box.com/shared/static/s0bl48b2znv3909crhfyztaebh6gbtzy.gz,https://utexas.box.com/s/u0wmpsako62ldj08i3o0egrn9d5mcgnu
