Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Sc I,2.146083,2.1460926,4659.652,18,24600.0,0.00085,C,1.9864474         -    2.5641680,3d.4s.(3D).4p             | 4D*        | 3/2,3d2.(3P).4s                         | 2P          | 1/2,,T9506,"L19272,L4189c12"
Mg I,2.146472,2.146482,4658.808,45,232000.0,0.048,B+,6.5161391         -    7.0937549,3s.5s                     | 1S         | 0,3s.6p                               | 1P*         | 1,,T5539,L6692
Fe II,2.1466036,2.14660450,4658.522,0.18,,,,13.4172719         -   13.9948548,3d5.(2F1).4s.4p.(3P*)     | 4F*        | 9/2,3d6.(5D).7s                         | 4D          | 7/2,,,L18349c139
Fe II,2.14710854,2.14710826,4657.4264,15,,,,12.7458673         -   13.3233147,3d6.(5D).6s               | 4D         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 7/2,,,L18349c148
Sc I,2.14742,2.147431,4656.75,3,,,,3.6190792         -    4.196440,3d2.(3F).4p               | 4G*        | 9/2,3d3                                 | 4F          | 7/2,,,L4189c12
Fe I,2.147527,2.1475283,4656.518,51,,,,6.70342551        -    7.28075992,3d7.(4F).4d               | f 3D       | 2,3d7.(4F<9/2>).4f                    | 2[5/2]*     | 2,,,L11631
Fe II,2.14763938,2.14763948,4656.2752,21,850000.0,0.047,B+,10.6780583         -   11.2553628,3d6.(5D).4d               | e 4F       | 9/2,3d6.(5D).5p                         | 4F*         | 7/2,,T6892c83,L18349c148
Fe II,2.147792,2.1477917,4655.9443,0.6,,,,13.2569411         -   13.8342047,3d6.(3F2).4d              | 2G         | 9/2,3d6.(3F2).5p                        | 2F*         | 7/2,,,L18349c139
Fe II,2.148188,2.1481876,4655.086,0.12,,,,13.0079946         -   13.5851518,3d6.(3F2).4d              | 4F         | 9/2,3d5.(2G2).4s.4p.(3P*)               | 4H*         | 7/2,,,L18349c139
Fe II,2.148441,2.1484488,4654.538,0.09,,,,14.1096247         -   14.6867118,3d6.(5D<2>).5g            | 2[3]       | 5/2,3d6.(5D<4>).6h                      | 2[4]*       | 7/2,,,L18349c139
Fe II,2.14859835,2.14859881,4654.197,26,1300000.0,0.068,B+,10.7142644         -   11.2913111,3d6.(5D).4d               | e 4F       | 7/2,3d6.(5D).5p                         | 4F*         | 5/2,,T6892c83,L18349c145
Ti I,2.148741,2.148739,4653.889,7,,,,4.8619612         -    5.4389704,3d3.(4F).5s               | f 5F       | 3,3d3.(4F).5p                         | 5G*         | 3,,,L10989
Sc I,2.14908,2.149061,4653.15,7*,,,,4.5618306         -    5.138753,3d2.(3P).4p               | 4D*        | 3/2,3d.4s.(3D).4d                       | 4P          | 1/2,,,L4189c12
Sc I,2.1490803,2.1490779,4653.153,7*,1090.0,0.000101,C,1.4329667         -    2.0098848,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(3D).4p                       | 4D*         | 7/2,,T9506,"L19272,L4189c12"
Fe I,2.1495455,2.1495438,4652.146,40,,,,5.94639870        -    6.52319179,3d7.(4F).5s               | e 3F       | 4,3d7.(2H).4p                         | w 3H*       | 5,,,L11631
Fe II,2.1504105,2.1504239,4650.275,0.8,20000.0,0.0016,E,13.1446413         -   13.7211983,3d6.(3H).4d               | 2H         | 9/2,3d6.(3H).5p                         | 2H*         | 11/2,,T6892c83,L18349c145
Fe II,2.150712,2.1507115,4649.622,0.12,27000.0,0.0016,E,12.9715130         -   13.5479929,3d6.(3H).4d               | 2I         | 13/2,3d5.(2I).4s.4p.(3P*)                | 2I*         | 11/2,,T6892c83,L18349c139
Fe I,2.151406,2.1514028,4648.123,38,,,,6.70339390        -    7.27968857,3d7.(4F).4d               | e 3G       | 4,3d7.(4F<9/2>).4f                    | 2[7/2]*     | 3,,,L11631
Fe I,2.1521018,2.1521020,4646.62,49,,,,5.34482452        -    5.92093198,3d6.(3H).4s.4p.(3P*)      | z 5H*      | 4,3d7.(4F).5s                         | e 5F        | 3,,,L11631
Fe II,2.1531398,2.1531390,4644.3803,0.4,22000.0,0.0012,E,12.8787670         -   13.4545970,3d6.(3H).4d               | 4H         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c139
Fe II,2.15349668,2.1534965,4643.6106,7,,,,12.6953327         -   13.2710671,3d6.(5D).6s               | 4D         | 7/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 7/2,,,L18349c148
Ti I,2.153872,2.1538694,4642.802,46,,,,3.9041974         -    4.4798321,3d3.(4F).4p               | w 3G*      | 4,3d4                                 | b 3G        | 4,,,L10989
Fe I,2.155916,2.1559182,4638.399,37,,,,6.70339390        -    7.27848158,3d7.(4F).4d               | e 3G       | 4,3d7.(4F<9/2>).4f                    | 2[9/2]*     | 4,,,L11631
Ti I,2.156015,2.156017,4638.186,6,,,,4.8728897         -    5.4479511,3d3.(4F).5s               | f 5F       | 4,3d3.(4F).5p                         | 5G*         | 4,,,L10989
Fe I,2.157679,2.1576821,4634.61,141,,,,6.42578026        -    7.0003978,3d6.(5D).4s (6D).5p       | u 5F*      | 2,3d6.4s.(6D).5d                      | 7P          | 3,,,L11631
Fe I,2.157814,2.1578157,4634.319,63,,,,6.70339390        -    7.27797585,3d7.(4F).4d               | e 3G       | 4,3d7.(4F<9/2>).4f                    | 2[11/2]*    | 5,,,L11631
Fe II,2.1581825,2.1581822,4633.5284,0.9,100000.0,0.005,D,13.0079946         -   13.5824790,3d6.(3F2).4d              | 4F         | 9/2,3d6.(3P2).5p                        | 4D*         | 7/2,,T6892c83,L18349c139
Fe II,2.158503,2.1584892,4632.841,0.4,,,,12.7189170         -   13.2933197,3d6.(3G).5s               | f 4G       | 11/2,3d6.(5D).6p                         | 6F*         | 9/2,,,L18349c145
Fe II,2.15883942,2.15883918,4632.1185,18,,,,12.7850548         -   13.3593643,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 4D*         | 1/2,,,L18349c148
Fe II,2.160105,2.1601179,4629.4,0.22,1600.0,0.00014,D,13.0456930         -   13.6196626,3d6.(3H).4d               | 4F         | 7/2,3d5.(2H).4s.4p.(3P*)                | 4G*         | 9/2,,T6892c83,L18349c139
Ti I,2.160442,2.160441,4628.682,15,,,,4.9007125         -    5.4745962,3d3.(4F).5s               | f 3F       | 2,3d2.4s.(4F).5p                      | 3G*         | 3,,,L10989
Sc I,2.16121,2.161191,4627.04,2,,,,4.1105447         -    4.6842294,3d2.(3F).4p               | 2F*        | 5/2,3d.4s.(1D).5s                       | 2D          | 3/2,,,L4189c12
Fe II,2.16299575,2.1629965,4623.2176,1.7,600000.0,0.043,E,13.1479926         -   13.7211983,3d6.(3H).4d               | 2H         | 11/2,3d6.(3H).5p                         | 2H*         | 11/2,,T6892c83,L18349c139
Fe II,2.16302,2.1630190,4623.1658,0.7,,,,12.6953327         -   13.2685325,3d6.(5D).6s               | 4D         | 7/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 5/2,,,L18349c139
Sc I,2.1631236,2.1631211,4622.944,6,4490.0,0.000315,C,1.9957592         -    2.5689319,3d.4s.(1D).4p             | 2D*        | 3/2,3d2.(3P).4s                         | 2P          | 3/2,,T9506,"L19272,L4189c12"
Ti I,2.163233,2.1632375,4622.71,1,,,,3.7086508         -    4.2817927,3d2.(3F).4s.4p.(1P*)      | w 3D*      | 3,3d4                                 | 3P2         | 2,,,L10989
Fe II,2.16351,2.1635075,4622.12,0.08,,,,13.5147266         -   14.0877969,3d5.(2F1).4s.4p.(3P*)     | 4D*        | 3/2,3d6.(5D).7s                         | 4D          | 1/2,,,L18349c139
Sc I,2.1640184,2.1640150,4621.033,16,4170.0,0.000439,B,1.4282931         -    2.0012291,3d2.(3F).4s               | 4F         | 3/2,3d.4s.(3D).4p                       | 4D*         | 5/2,,T9506,"L19272,L4189c12"
Fe II,2.164417,2.16441690,4620.1818,1.7,,,,12.7137971         -   13.2866266,3d6.(5D).6s               | 6D         | 3/2,3d6.(5D).6p                         | 4P*         | 5/2,,,L18349c139
Ti I,2.165026,2.165023,4618.883,8,,,,5.1256981         -    5.6983673,3d3.(2H).4p               | 3G*        | 5,3d2.4s.(2F).4d                      | f 3H        | 6,,,L10989
Ti I,2.165254,2.165253,4618.395,5,,,,4.8865701         -    5.4591785,3d3.(4F).5s               | f 5F       | 5,3d3.(4F).5p                         | 5G*         | 5,,,L10989
Fe I,2.165416,2.1654161,4618.05,54,,,,5.34836675        -    5.92093198,3d6.(3H).4s.4p.(3P*)      | y 5G*      | 3,3d7.(4F).5s                         | e 5F        | 3,,,L11631
Fe II,2.16548695,2.1654865,4617.899,9,,,,12.7850548         -   13.3576014,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 4F*         | 3/2,,,L18349c145
Fe II,2.1658308,2.1658298,4617.166,0.25,1600.0,9e-05,D,12.8448160         -   13.4172719,3d6.(3H).4d               | 4G         | 11/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 9/2,,T6892c83,L18349c139
Fe II,2.16589481,2.1658950,4617.0294,1.8,,,,12.7290536         -   13.3014922,3d6.(5D).6s               | 6D         | 1/2,3d6.(5D).6p                         | 6D*         | 1/2,,,L18349c139
H I,2.1661178,2.166121,4616.554,8000,304150.0,0.065521,AAA,12.7485393         -   13.32091817,4                         |            |,7                                   |             |,,T8637,L7421
Ti I,2.166343,2.1663417,4616.075,17,,,,4.91486021        -    5.4871808,3d3.(4F).5s               | f 3F       | 3,3d2.4s.(4F).5p                      | 3G*         | 4,,,L10989
Ti I,2.168863,2.1688617,4610.711,1,,,,4.7311702         -    5.30282580,3d2.(3P).4s.4p.(1P*)      | u 3D*      | 3,3d2.4s.(4F).4d                      | 3D          | 2,,,L10989
Fe II,2.16895585,2.16895557,4610.5134,27,,,,12.7850548         -   13.3566857,3d6.(5D).6s               | 4D         | 3/2,3d5.(2D3).4s.4p.(3P*)               | 2D*         | 5/2,,,L18349c148
Fe II,2.1694697,2.1694694,4609.421,0.16,60000.0,0.0034,E,12.9092025         -   13.4806980,3d6.(3H).4d               | 2K         | 15/2,3d6.(3H).5p                         | 4H*         | 13/2,,T6892c83,L18349c139
Fe II,2.16962012,2.1696205,4609.1018,17,1150000.0,0.054,B+,10.7370057         -   11.3084614,3d6.(5D).4d               | e 4F       | 5/2,3d6.(5D).5p                         | 4F*         | 3/2,,T6892c83,L18349c148
Fe II,2.169823,2.1698210,4608.67,0.08,,,,12.8458690         -   13.4172719,3d6.(3G).5s               | e 2G       | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 9/2,,,L18349c139
Ti I,2.170381,2.170381,4607.487,1,,,,4.6542257         -    5.2254812,3d2.4s.(4F).5s            | e 3F       | 2,3d.4s2.4p                           | q 3D*       | 1,,,L10989
Fe II,2.1705478,2.1705482,4607.1318,0.32,80000.0,0.008,E,12.8973225         -   13.4685339,3d6.(5D).5d               | 4F         | 5/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 7/2,,T6892c83,L18349c139
Sc I,2.17123,2.171235,4605.68,2,,,,4.4318939         -    5.002925,3d.4s.(3D).5s             | 2D         | 5/2,3d.4s.(3D).5p                       | 2D*         | 5/2,,,L4189c12
Fe II,2.17165726,2.17165688,4604.7782,2.2,,,,12.7850548         -   13.3559746,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 6F*         | 1/2,,,L18349c139
Sc I,2.17255,2.172555,4602.89,4,,,,3.6331691         -    4.2038530,3d2.(3F).4p               | 4G*        | 11/2,3d3                                 | 4F          | 9/2,,,L4189c12
Fe II,2.1727478,2.17274779,4602.467,0.4,,,,12.7707022         -   13.3413354,3d6.(3P2).4d              | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 3/2,,,L18349c139
Sc I,2.1736394,2.1736398,4600.579,165,23300.0,0.00165,C,1.4394858         -    2.0098848,3d2.(3F).4s               | 4F         | 7/2,3d.4s.(3D).4p                       | 4D*         | 7/2,,T9506,"L11621,L4189c12"
Fe I,2.1741407,2.1741390,4599.518,120,,,,6.17506487        -    6.74533292,3d6.(5D).4s (6D).5p       | n 7D*      | 3,3d6.(5D).4s (6D).6s                 | g 7D        | 3,,,L11631
Fe II,2.1753306,2.1753289,4597.002,0.24,15000.0,0.0011,E,12.8846409         -   13.4545970,3d6.(3H).4d               | 4G         | 7/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c139
Fe I,2.1762888,2.1762885,4594.978,85,,,,6.21813227        -    6.78783705,3d6.(5D).4s (6D).5p       | n 7D*      | 1,3d6.(5D).4s (6D).6s                 | g 7D        | 1,,,L11631
Fe II,2.1765255,2.1765225,4594.479,0.12,25000.0,0.0012,E,12.8444417         -   13.4140853,3d6.(3P2).4d              | 2F         | 5/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 3/2,,T6892c83,L18349c139
Fe II,2.17691079,2.1769106,4593.6655,8,,,,12.6502274         -   13.2197694,3d6.(5D).6s               | 6D         | 7/2,3d5.(4F).4s.4p.(3P*)                | 6F*         | 9/2,,,L18349c148
Ti I,2.177354,2.177355,4592.73,7,,,,2.5783262         -    3.1477519,3d3.(2H).4s               | a 1H       | 5,3d2.(3F).4s.4p.(1P*)                | y 3F*       | 4,,,L10989
Ti I,2.177411,2.177416,4592.61,1,,,,4.91486021        -    5.4842699,3d3.(4F).5s               | f 3F       | 3,3d2.4s.(4F).5p                      | o 3D*       | 3,,,L10989
Fe I,2.1781817,2.1781804,4590.985,35,,,,3.41489715        -    3.98410712,3d7.(2P).4s               | a 1P       | 1,3d6.(5D).4s.4p.(3P*)                | z 3F*       | 2,,,L11631
Fe I,2.178688,2.1786882,4589.917,22bl*,,,,5.79564049        -    6.36471779,3d7.(4P).4p               | u 5D*      | 3,3d6.(5D).4s (6D).4d                 | e 7G        | 4,,,L11631
Fe I,2.178688,2.1786901,4589.917,22bl*,,,,5.68259542        -    6.25167222,3d6.(3F2).4s.4p.(3P*)     | x 5G*      | 4,3d6.(5D).4s (6D).4d                 | f 5D        | 4,,,L11631
Ti I,2.178889,2.1788866,4589.495,1300,107000.0,0.00979,B,1.7488757         -    2.3179012,3d3.(4P).4s               | a 5P       | 3,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 4,,T8000,L10989
Fe I,2.1793751,2.1793728,4588.471,45,,,,6.39994976        -    6.96884828,3d6.(5D).4s (6D).5p       | u 5F*      | 3,3d6.4s.(6D).5d                      | 5D          | 4,,,L11631
Fe II,2.1794284,2.1794279,4588.3591,0.28bl(Fe I),130000.0,0.012,E,12.8996498         -   13.4685339,3d6.(3H).4d               | 4G         | 5/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 7/2,,T6892c83,L18349c148
Fe I,2.1794287,2.1794308,4588.358,24,,,,6.10530689        -    6.67419029,3d6.(3F2).4s.4p.(3P*)     | v 3D*      | 2,3d7.(4F).4d                         | g 5F        | 3,,,L11631
Fe II,2.180107,2.18010216,4586.931,0.8,76000.0,0.0054,C+,10.4477261         -   11.0164343,3d6.(5D).4d               | 6P         | 7/2,3d6.(5D).5p                         | 6D*         | 7/2,,T6892c83,L18349c139
Fe II,2.18032,2.1803199,4586.4827,0.24,90000.0,0.006,E,12.8996498         -   13.4683012,3d6.(3H).4d               | 4G         | 5/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 5/2,,T6892c83,L18349c139
Ti I,2.1805524,2.1805524,4585.994,11,,,,5.5360591         -    6.10464990,3d4                       | 3P1        | 2,3d3.(4F<7/2>).4f                    | 2[5/2]*     | 3,,,L12119
Sc I,2.1812521,2.1812503,4584.523,19,33900.0,0.00121,C,1.9957592         -    2.5641680,3d.4s.(1D).4p             | 2D*        | 3/2,3d2.(3P).4s                         | 2P          | 1/2,,T9506,"L19272,L4189c12"
Sc I,2.1818126,2.1818123,4583.345,305,76000.0,0.00542,B,1.4329667         -    2.0012291,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(3D).4p                       | 4D*         | 5/2,,T9506,"L11621,L4189c12"
Fe I,2.1819934,2.1819931,4582.965,41,,,,5.84852446        -    6.41673983,3d7.(4P).4p               | u 5D*      | 0,3d6.(5D).4s (6D).4d                 | f 5F        | 1,,,L11631
Fe I,2.182252,2.1822521,4582.421,52,,,,6.77986785        -    7.34801576,3d7.(4F).4d               | f 3F       | 4,3d7.(4F<7/2>).4f                    | 2[7/2]*     | 4,,,L11631
Fe I,2.182593,2.1825946,4581.705,25,,,,6.77986785        -    7.34792662,3d7.(4F).4d               | f 3F       | 4,3d7.(4F<7/2>).4f                    | 2[11/2]*    | 5,,,L11631
Fe I,2.183895,2.1838939,4578.975,29bl,,,,6.77986785        -    7.34758864,3d7.(4F).4d               | f 3F       | 4,3d7.(4F<7/2>).4f                    | 2[9/2]*     | 4,,,L11631
Sc I,2.183967,2.1839632,4578.824,9,10000.0,0.000475,C,2.0012291         -    2.5689319,3d.4s.(3D).4p             | 4D*        | 5/2,3d2.(3P).4s                         | 2P          | 3/2,,T9506,"L19272,L4189c12"
Fe II,2.18455095,2.18455086,4577.5998,14,,,,12.6502274         -   13.2177775,3d6.(5D).6s               | 6D         | 7/2,3d6.(5D).6p                         | 6D*         | 7/2,,,L18349c148
Fe II,2.184686,2.1846959,4577.317,1.4,,,,10.5446893         -   11.1122017,3d6.(5D).4d               | f 4D       | 3/2,3d5.(4P).4s.4p.(3P*)                | 6P*         | 3/2,,,L18349c145
Fe I,2.184712,2.1847117,4577.262,17,,,,5.84923154        -    6.41673983,3d7.(4P).4p               | u 5D*      | 1,3d6.(5D).4s (6D).4d                 | f 5F        | 1,,,L11631
Ti I,2.184803,2.184806,4577.072,2,,,,5.1150277         -    5.6825115,3d3.(2H).4p               | 3G*        | 4,3d2.4s.(2F).4d                      | f 3H        | 5,,,L10989
Sc I,2.184874,2.1848743,4576.923,190,61300.0,0.00439,B,1.4282931         -    1.9957592,3d2.(3F).4s               | 4F         | 3/2,3d.4s.(1D).4p                       | 2D*         | 3/2,,T9506,"L11621,L4189c12"
Ti I,2.185319,2.1853195,4575.992,2,,,,3.9041974         -    4.4715479,3d3.(4F).4p               | w 3G*      | 4,3d4                                 | b 3G        | 3,,,L10989
Fe I,2.1857339,2.1857345,4575.122,60,,,,3.64164057        -    4.20888328,3d6.4s2                   | b 3D       | 3,3d6.(5D).4s.4p.(3P*)                | z 3P*       | 2,,,L11631
Ti I,2.187207,2.187206,4572.042,18,,,,3.9214575         -    4.4883187,3d3.(4F).4p               | w 3G*      | 5,3d4                                 | b 3G        | 5,,,L10989
Fe I,2.187878,2.1878817,4570.639,32,,,,5.75415389        -    6.32083991,3d7.(4P).4p               | w 5P*      | 1,3d6.(5D).4s (6D).4d                 | f 5D        | 0,,,L11631
Fe II,2.1883661,2.1883663,4569.6194,1.1,,,,12.7707022         -   13.3372628,3d6.(3P2).4d              | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 5/2,,,L18349c139
Fe II,2.18850375,2.18850370,4569.3319,8,,,,12.7458673         -   13.3123923,3d6.(5D).6s               | 4D         | 5/2,3d5.(2D1).4s.4p.(3P*)               | 4D*         | 5/2,,,L18349c148
Fe I,2.188697,2.1886963,4568.928,47,,,,5.84412959        -    6.41060472,3d7.(4P).4p               | w 3D*      | 2,3d6.(5D).4s (6D).4d                 | f 5F        | 2,,,L11631
Fe I,2.189551,2.1895512,4567.147,26,,,,5.79341882        -    6.35967275,3d6.(3P2).4s.4p.(3P*)     | y 3P*      | 2,3d6.(5D).4s (4D).5s                 | e 3D        | 3,,,L11631
Fe I,2.18983,2.1898298,4566.564,18bl*,,,,5.74214676        -    6.30832866,3d7.(4P).4p               | w 5P*      | 2,3d6.(5D).4s (6D).4d                 | f 5D        | 1,,,L11631
Fe I,2.18983,2.1898346,4566.564,18bl*,,,,5.58689276        -    6.15307342,3d6.(5D).4s (6D).5s       | e 5D       | 3,3d7.(2G).4p                         | v 3G*       | 4,,,L11631
Fe I,2.1900972,2.1900959,4566.007,398,682000.0,0.0491,B,6.14449991        -    6.71061300,3d6.(5D).4s (6D).5p       | n 7D*      | 4,3d6.(5D).4s (6D).6s                 | g 7D        | 4,,T5720,L11631
Fe I,2.1901586,2.1901583,4565.879,27,,,,5.53924278        -    6.10533975,3d6.(5D).4s (6D).5s       | e 5D       | 4,3d7.(2G).4p                         | w 3F*       | 3,,,L11631
Ti I,2.190335,2.1903353,4565.511,710,68000.0,0.00685,B,1.7393044         -    2.3053556,3d3.(4P).4s               | a 5P       | 2,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 3,,T8000,L10989
Fe I,2.192211,2.1922104,4561.604,26,,,,6.23680503        -    6.80237209,3d6.(5D).4s (6D).5p       | n 7F*      | 4,3d6.4s.(6D).6s                      | 5D          | 3,,,L11631
Fe II,2.1922497,2.1922358,4561.5241,0.4bl(Fe I),15000.0,0.0015,E,13.0696934         -   13.6352538,3d6.(3F2).4d              | 4G         | 5/2,3d6.(3H).5p                         | 4G*         | 7/2,,T6892c83,L18349c148
Fe I,2.1922501,2.1922503,4561.523,39,,,,5.72027099        -    6.28582776,3d7.(4P).4p               | w 5P*      | 3,3d6.(5D).4s (6D).4d                 | f 5D        | 2,,,L11631
Fe II,2.19240416,2.19240455,4561.2028,10,,,,12.8033198         -   13.3688367,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 6P*         | 3/2,,,L18349c148
Ti I,2.193388,2.193386,4559.157,1,,,,3.6908453         -    4.2561092,3d2.(3F).4s.4p.(1P*)      | w 3D*      | 2,3d4                                 | 3P2         | 1,,,L10989
Ti I,2.196427,2.196427,4552.848,1,,,,4.9007125         -    5.4651938,3d3.(4F).5s               | f 3F       | 2,3d2.4s.(4F).5p                      | o 3D*       | 2,,,L10989
Ti I,2.196896,2.196906,4551.88,2q,,,,5.1044302         -    5.6687885,3d3.(2H).4p               | 3G*        | 3,3d2.4s.(2F).4d                      | f 3H        | 4,,,L10989
Fe I,2.198633,2.1986338,4548.28,20,,,,5.74214676        -    6.30606149,3d7.(4P).4p               | w 5P*      | 2,3d6.(5D).4s (6D).4d                 | f 7D        | 3,,,L11631
Fe I,2.199239,2.1992406,4547.028,59,,,,6.83462125        -    7.3983804,3d7.(4F).4d               | f 3F       | 3,3d7.(4F<5/2>).4f                    | 2[7/2]*     | 3,,,L11631
Ti I,2.199367,2.199367,4546.762,1,,,,4.6692439         -    5.2329707,3d2.4s.(4F).5s            | e 3F       | 3,3d.4s2.4p                           | q 3D*       | 2,,,L10989
Fe I,2.19948,2.1994801,4546.528,50,,,,6.83462125        -    7.39831901,3d7.(4F).4d               | f 3F       | 3,3d7.(4F<5/2>).4f                    | 2[7/2]*     | 4,,,L11631
Ti I,2.201051,2.2010501,4543.285,270,34000.0,0.00412,B,1.7335189         -    2.2968146,3d3.(4P).4s               | a 5P       | 1,3d2.(3F).4s.4p.(3P*)                | z 5D*       | 2,,T8000,L10989
Fe I,2.202776,2.2027761,4539.725,15,,,,6.16536100        -    6.72821528,3d7.(2G).4p               | y 3H*      | 4,3d7.(4F).4d                         | e 3H        | 5,,,L11631
Sc I,2.2030183,2.2030179,4539.227,305,133000.0,0.00645,B,1.4329667         -    1.9957592,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(1D).4p                       | 2D*         | 3/2,,T9506,"L11621,L4189c12"
Fe II,2.204115,2.2041157,4536.969,0.16,,,,12.7941734         -   13.3566857,3d6.(3P2).4d              | 2F         | 7/2,3d5.(2D3).4s.4p.(3P*)               | 2D*         | 5/2,,,L18349c139
Fe I,2.204281,2.2042779,4536.626,760bl,,,,6.66845912        -    7.2309299,3d7.(4F).5p               | 5D*        | 3,3d6.4s.(6D).7s                      | 5D          | 4,,,L11631
Fe I,2.204629,2.2046307,4535.911,30,,,,6.53184961        -    7.09423040,3d7.(2D2).4p              | t 3D*      | 2,3d7.(4F).6s                         | 3F          | 3,,,L11631
Fe II,2.2053055,2.20530605,4534.5191,0.31,800.0,5e-05,D,12.8550633         -   13.4172719,3d6.(5D).5d               | 4F         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 9/2,,T6892c83,L18349c139
Sc I,2.2058003,2.2058003,4533.502,995,245000.0,0.0143,C,1.4478022         -    2.0098848,3d2.(3F).4s               | 4F         | 9/2,3d.4s.(3D).4p                       | 4D*         | 7/2,,T9506,"L11621,L4189c12"
Fe II,2.2059788,2.2059798,4533.135,0.24,11000.0,0.0008,E,12.8444417         -   13.4064786,3d6.(3P2).4d              | 2F         | 5/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 5/2,,T6892c83,L18349c139
Na I,2.206242,2.206248,4532.594,(40),6640000.0,0.969,A+,3.1913531         -    3.7533216,2p6.4s                    | 2S         | 1/2,2p6.4p                              | 2P*         | 3/2,,c30,L4740c73
Fe II,2.2063803,2.2063828,4532.31,0.15,13000.0,0.0009,E,12.8926628         -   13.4545970,3d6.(3H).4d               | 4H         | 7/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 7/2,,T6892c83,L18349c139
Si I,2.206873,,4531.298,12,,,,,|            |,|             |,,,L4745
Sc I,2.2071328,2.2071325,4530.765,990,334000.0,0.0183,B+,1.4394858         -    2.0012291,3d2.(3F).4s               | 4F         | 7/2,3d.4s.(3D).4p                       | 4D*         | 5/2,,T9506,"L11621,L4189c12"
Fe I,2.207306,2.2073062,4530.409,14,,,,6.76400977        -    7.3257089,3d7.(4F).4d               | e 3H       | 4,3d6.(3H).4s.4p.(1P*)                | 3I*         | 5,,,L11631
Fe II,2.2077588,2.20775895,4529.4803,2.8,,,,12.6878163         -   13.2494003,3d6.(5D).6s               | 6D         | 5/2,3d6.(5D).6p                         | 4D*         | 7/2,,,L18349c139
Fe I,2.208094,2.2080934,4528.793,8,,,,6.18068544        -    6.74218434,3d7.(2G).4p               | v 3G*      | 3,3d7.(4F).4d                         | e 3G        | 3,,,L11631
Fe I,2.2085892,2.2085879,4527.777,46,,,,5.84923154        -    6.41060472,3d7.(4P).4p               | u 5D*      | 1,3d6.(5D).4s (6D).4d                 | f 5F        | 2,,,L11631
Fe II,2.2088194,2.2088206,4527.305,0.18,41000.0,0.003,E,12.9715130         -   13.5328270,3d6.(3H).4d               | 2I         | 13/2,3d5.(2I).4s.4p.(3P*)                | 2I*         | 13/2,,T6892c83,L18349c139
Fe II,2.20887595,2.20887619,4527.1895,1.6,,,,12.7707022         -   13.3320021,3d6.(3P2).4d              | 4D         | 5/2,3d6.(5D).6p                         | 6F*         | 7/2,,,L18349c139
Na I,2.208969,2.208973,4526.999,(40),6620000.0,0.485,A+,3.1913531         -    3.7526285,2p6.4s                    | 2S         | 1/2,2p6.4p                              | 2P*         | 1/2,,c30,L4740c73
Fe II,2.2091785,2.2091792,4526.569,0.8,13000.0,0.0013,D+,10.4552114         -   11.0164343,3d6.(5D).4d               | 6P         | 5/2,3d6.(5D).5p                         | 6D*         | 7/2,,T6892c83,L18349c139
Fe II,2.21115329,2.21115319,4522.5268,2.1bl(Fe I),,,,12.7707022         -   13.3314241,3d6.(3P2).4d              | 4D         | 5/2,3d6.(5D).6p                         | 6P*         | 5/2,,,L18349c148
Fe I,2.2111535,2.2111507,4522.526,195,,,,5.82938837        -    6.39011087,3d7.(4P).4p               | w 3D*      | 3,3d6.(5D).4s (6D).4d                 | e 7G        | 2,,,L11631
Fe II,2.2127945,2.2127942,4519.1724,0.4,,,,13.2569411         -   13.8172472,3d6.(3F2).4d              | 2G         | 9/2,3d6.(3F2).5p                        | 2G*         | 9/2,,,L18349c139
Ti I,2.215042,2.2150479,4514.588,1,,,,4.91486021        -    5.4745962,3d3.(4F).5s               | f 3F       | 3,3d2.4s.(4F).5p                      | 3G*         | 3,,,L10989
