# Generated by G. Mace on Mon Nov 19 20:11:02 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86638         -NaN         -NaN
      0.00000      1.86639     -845801.     -1.86744
      0.00000      1.86641      61756.1     0.105610
      0.00000      1.86642     -262854.    -0.579418
      0.00000      1.86643     -473564.    -0.979200
      0.00000      1.86645      130469.     0.274529
      0.00000      1.86646      808111.      1.66669
      0.00000      1.86647  3.64181e+06     0.498701
      0.00000      1.86649 -2.36828e+06      2.80294
      0.00000      1.86650 -4.82958e+06      2.71968
      0.00000      1.86651  5.15722e+06      2.24693
      0.00000      1.86653  1.45965e+06      1.34648
      0.00000      1.86654  1.30476e+06      1.69674
      0.00000      1.86656     -184208.    -0.246324
      0.00000      1.86657      562278.      1.11137
      0.00000      1.86658 -2.71241e+06      2.95100
      0.00000      1.86660 -1.12879e+06     0.764506
      0.00000      1.86661 -3.95589e+06      2.51601
      0.00000      1.86662 -1.24682e+07      2.38416
      0.00000      1.86664     -676085.     0.809209
      0.00000      1.86665 -1.91347e+06      2.12066
      0.00000      1.86667      99173.7   -0.0909585
      0.00000      1.86668  7.47681e+06     -2.72232
      0.00000      1.86669     -801575.     0.801947
      0.00000      1.86671     -872818.      1.72008
      0.00000      1.86672     -646078.      2.30207
      0.00000      1.86673     -381382.      1.34136
      0.00000      1.86675 -4.53113e+07      2.23656
      0.00000      1.86676  1.93398e+06      2.96784
      0.00000      1.86677 -5.15356e+06      1.61012
      0.00000      1.86679  3.18917e+06     -1.03099
      0.00000      1.86680  3.75695e+06     -1.59335
      0.00000      1.86682      273438.    -0.235551
      0.00000      1.86683     -11153.3   0.00607795
      0.00000      1.86684 -1.83608e+06     0.969583
      0.00000      1.86686  6.24718e+06      1.96976
      0.00000      1.86687      17518.7    0.0258407
      0.00000      1.86688     -694304.     -1.05054
      0.00000      1.86690  4.29294e+06     0.102990
      0.00000      1.86691  3.44895e+06      1.95873
      0.00000      1.86693  1.57170e+06     0.167483
      0.00000      1.86694  3.72632e+06     -1.46050
      0.00000      1.86695 -2.76693e+06      2.11924
      0.00000      1.86697 -4.65876e+06      1.80590
      0.00000      1.86698     -631689.      1.51619
      0.00000      1.86699     -102143.     0.362905
      0.00000      1.86701     -518697.      1.45449
      0.00000      1.86702     -200026.     0.257767
      0.00000      1.86703     -193236.     0.336147
      0.00000      1.86705 -1.07919e+06      1.34878
      0.00000      1.86706      318693.    -0.504568
      0.00000      1.86708  1.82380e+06     -1.06666
      0.00000      1.86709  5.77327e+07      1.98571
      0.00000      1.86710  2.91729e+07      3.24599
      0.00000      1.86712 -1.28070e+06      2.78124
      0.00000      1.86713     -796053.      1.34594
      0.00000      1.86714 -3.91554e+06    -0.974971
      0.00000      1.86716     -113923.     0.392379
      0.00000      1.86717     -667.082   0.00181231
      0.00000      1.86719     -103736.     0.246475
      0.00000      1.86720 -1.12820e+06      1.53972
      0.00000      1.86721 -1.95754e+06      1.89268
      0.00000      1.86723  1.49088e+06      1.03511
      0.00000      1.86724 -3.58508e+06      2.05288
      0.00000      1.86725 -1.51854e+06      1.34419
      0.00000      1.86727 -6.04395e+06      1.68824
      0.00000      1.86728     -706309.      1.38957
      0.00000      1.86730 -2.98144e+06      2.27070
      0.00000      1.86731      122624.    -0.277358
      0.00000      1.86732      577178.     -1.52207
      0.00000      1.86734      46418.1    -0.111782
      0.00000      1.86735 -2.71095e+06      1.25252
