# Generated by G. Mace on Wed Nov 21 23:30:21 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86643         -NaN         -NaN
      0.00000      1.86644      469923.   -0.0612326
      0.00000      1.86646 -1.06528e+06     0.475266
      0.00000      1.86647 -3.47799e+07    -0.815821
      0.00000      1.86648  8.13152e+06    -0.730086
      0.00000      1.86650  1.46953e+06     -1.22855
      0.00000      1.86651     -505978.    -0.832512
      0.00000      1.86652 -2.57137e+07    -0.661336
      0.00000      1.86654 -3.14862e+06     -1.83521
      0.00000      1.86655     -519514.    -0.831784
      0.00000      1.86657 -1.66409e+06     -1.35583
      0.00000      1.86658  2.86597e+06     -2.79826
      0.00000      1.86659 -2.69670e+06     -2.09034
      0.00000      1.86661     -265328.    -0.616336
      0.00000      1.86662     -747243.     -1.56309
      0.00000      1.86663     -878873.      1.08504
      0.00000      1.86665 -1.85485e+06      1.45999
      0.00000      1.86666     -449001.    -0.235808
      0.00000      1.86667      896963.     0.462915
      0.00000      1.86669  1.72864e+06     -1.25368
      0.00000      1.86670 -1.62953e+06     -1.47896
      0.00000      1.86672 -1.10591e+06     -1.60758
      0.00000      1.86673 -2.04274e+07     -3.07655
      0.00000      1.86674 -1.45392e+06      1.04336
      0.00000      1.86676     -288292.    -0.367969
      0.00000      1.86677  2.20802e+07    -0.711480
      0.00000      1.86678  1.06854e+06      1.12677
      0.00000      1.86680     -787097.    -0.879611
      0.00000      1.86681  1.75089e+06      1.18066
      0.00000      1.86683      642391.     0.416486
      0.00000      1.86684 -1.02906e+06    -0.483318
      0.00000      1.86685     -303739.    -0.313998
      0.00000      1.86687 -2.45379e+06      1.49190
      0.00000      1.86688  3.02792e+06      1.09609
      0.00000      1.86689     -406076.     0.527432
      0.00000      1.86691 -1.19608e+06      1.69341
      0.00000      1.86692 -1.52800e+07      1.10345
      0.00000      1.86694      35631.2   -0.0138390
      0.00000      1.86695      686899.    -0.769226
      0.00000      1.86696     -614755.     -1.05362
      0.00000      1.86698 -3.02522e+06    -0.545104
      0.00000      1.86699 -1.96517e+06      1.94367
      0.00000      1.86700 -1.44954e+06      1.83203
      0.00000      1.86702      373711.    -0.667543
      0.00000      1.86703 -1.42680e+06      1.56805
      0.00000      1.86704  4.21266e+06    -0.153134
      0.00000      1.86706      842268.    -0.432925
      0.00000      1.86707     -909274.    -0.903454
      0.00000      1.86709      483462.    -0.308529
      0.00000      1.86710 -1.57890e+06    -0.627919
      0.00000      1.86711      311428.     0.105208
      0.00000      1.86713  1.73678e+06     -1.29236
      0.00000      1.86714  3.90939e+06      1.05501
      0.00000      1.86715  4.13265e+07      3.31093
      0.00000      1.86717     -48106.6   -0.0374493
      0.00000      1.86718     -528713.     0.444790
      0.00000      1.86720  1.36908e+06    -0.807610
      0.00000      1.86721  1.79009e+06     -3.05047
      0.00000      1.86722 -1.10475e+06      1.43159
      0.00000      1.86724 -1.24260e+06      1.85642
      0.00000      1.86725     -529808.     0.184814
      0.00000      1.86726 -2.59796e+06      1.18357
      0.00000      1.86728 -1.37188e+06      1.28211
      0.00000      1.86729     -150159.     0.200675
      0.00000      1.86730     -478602.     0.761408
      0.00000      1.86732  1.89599e+07     -2.47053
      0.00000      1.86733  6.93674e+06     0.941968
      0.00000      1.86735  1.09265e+06     -1.95443
      0.00000      1.86736 -8.70206e+06     -2.14949
      0.00000      1.86737     -482338.    -0.447139
      0.00000      1.86739     -81610.2     0.102223
      0.00000      1.86740  2.18428e+06     -2.42085
      0.00000      1.86741  2.68721e+06    -0.752613
      0.00000      1.86743     -105410.     0.237772
      0.00000      1.86744 -1.10436e+06      1.09464
      0.00000      1.86746  7.54202e+06     -1.02039
      0.00000      1.86747     -649763.    -0.386997
      0.00000      1.86748 -1.97576e+06     -1.19685
      0.00000      1.86750  6.71861e+06     0.900007
      0.00000      1.86751  2.88987e+06     -1.95613
      0.00000      1.86752  1.55460e+06     -2.88960
      0.00000      1.86754  2.59804e+06     -2.03283
      0.00000      1.86755     -28549.8    0.0528330
      0.00000      1.86757 -1.29950e+07      2.61246
      0.00000      1.86758      256081.    -0.192183
      0.00000      1.86759 -1.44385e+06    -0.736466
      0.00000      1.86761 -3.37079e+06      1.50866
      0.00000      1.86762  2.19019e+06     -1.04778
      0.00000      1.86763      682004.    -0.827899
      0.00000      1.86765     -995643.      1.09672
      0.00000      1.86766      560091.    -0.591915
      0.00000      1.86767      216463.     0.228740
      0.00000      1.86769     -696004.      1.23443
      0.00000      1.86770 -2.11666e+06    -0.345602
      0.00000      1.86772     -270991.    -0.172568
      0.00000      1.86773     -613677.     0.285083
      0.00000      1.86774      73895.0    0.0803383
      0.00000      1.86776  2.37939e+06     -3.12924
      0.00000      1.86777  2.20508e+06     -2.41815
      0.00000      1.86778     -608230.    -0.376282
      0.00000      1.86780  2.19919e+06    -0.461730
      0.00000      1.86781      129480.    -0.226814
      0.00000      1.86783     -693407.     0.771167
      0.00000      1.86784     -415948.     0.928442
      0.00000      1.86785      548757.    -0.564376
      0.00000      1.86787 -3.18245e+06      1.19299
      0.00000      1.86788 -3.16365e+06      1.39062
      0.00000      1.86789      510708.    -0.602647
      0.00000      1.86791     -331385.     0.219087
      0.00000      1.86792 -2.72969e+06     0.939314
      0.00000      1.86794 -5.51475e+06     -1.97418
      0.00000      1.86795 -2.20906e+06     -2.44147
      0.00000      1.86796 -2.12712e+06    -0.982060
      0.00000      1.86798     -915453.     0.265504
      0.00000      1.86799      653486.    -0.228518
      0.00000      1.86800      639626.     0.231719
      0.00000      1.86802  5.87199e+07      3.67528
      0.00000      1.86803  1.21521e+06      1.50938
      0.00000      1.86804     -299662.    0.0631867
      0.00000      1.86806 -1.75287e+06      1.28297
      0.00000      1.86807  1.17878e+06     0.713619
      0.00000      1.86809      999765.     -1.09157
      0.00000      1.86810  1.41851e+06     -1.39398
      0.00000      1.86811  3.81518e+06     -1.91721
      0.00000      1.86813 -4.34328e+06     -3.10350
      0.00000      1.86814 -1.61025e+07     -2.04837
      0.00000      1.86815      134503.     0.187416
      0.00000      1.86817     -770899.    -0.685123
