# Generated by G. Mace on Thu Nov 22 01:23:08 2018
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86635         -NaN         -NaN
      0.00000      1.86637      590016.     -2.64248
      0.00000      1.86638      646797.     0.421244
      0.00000      1.86639  1.15246e+06     -1.53360
      0.00000      1.86641     -783157.     0.579002
      0.00000      1.86642      411081.    -0.200961
      0.00000      1.86644 -5.57137e+06     -1.78005
      0.00000      1.86645      651315.     0.537710
      0.00000      1.86646     -518074.    -0.768461
      0.00000      1.86648      138589.     0.297426
      0.00000      1.86649      843154.     0.851673
      0.00000      1.86651      641666.      1.20013
      0.00000      1.86652 -1.38836e+07      1.79612
      0.00000      1.86653     -493822.     0.404620
      0.00000      1.86655      17319.8    0.0304615
      0.00000      1.86656  1.21474e+06      1.27673
      0.00000      1.86657      215545.   -0.0581821
      0.00000      1.86659     -406047.     -1.08638
      0.00000      1.86660      31516.0    0.0626366
      0.00000      1.86662     -105374.    0.0549228
      0.00000      1.86663     -464553.    -0.727411
      0.00000      1.86664  1.38507e+06     0.671761
      0.00000      1.86666     -655350.    -0.827679
      0.00000      1.86667  2.06371e+06     0.322220
      0.00000      1.86669     -373353.    -0.360118
      0.00000      1.86670      317486.     0.658920
      0.00000      1.86671     -41111.9    -0.169425
      0.00000      1.86673      212980.     0.506805
      0.00000      1.86674  1.27069e+06      1.60267
      0.00000      1.86676 -1.91619e+06     -2.40170
      0.00000      1.86677      386996.      1.26709
      0.00000      1.86678 -3.43991e+06     -2.20209
      0.00000      1.86680 -4.86075e+06      1.64646
      0.00000      1.86681 -2.35376e+06     -3.28442
      0.00000      1.86682     -165439.   -0.0424905
      0.00000      1.86684 -1.26112e+06     -1.43083
      0.00000      1.86685      787406.      2.15038
      0.00000      1.86687  6.12248e+06      3.72081
      0.00000      1.86688  2.47025e+07      3.27924
      0.00000      1.86689      479120.     0.542759
      0.00000      1.86691  1.41689e+06     0.601978
      0.00000      1.86692 -1.05806e+06     -1.26898
      0.00000      1.86694 -3.88106e+06     -2.12856
      0.00000      1.86695     -167111.    -0.415060
      0.00000      1.86696  2.71921e+06     -2.62035
      0.00000      1.86698     -472627.    -0.624357
      0.00000      1.86699 -1.41148e+06     -1.49677
      0.00000      1.86700  1.85125e+06     0.912391
      0.00000      1.86702  1.04613e+06      1.24294
      0.00000      1.86703  1.49020e+07      2.22120
      0.00000      1.86705  1.48486e+06      1.30243
      0.00000      1.86706 -1.35479e+06     0.696820
      0.00000      1.86707  4.10617e+07      1.43767
      0.00000      1.86709  9.03147e+07     -2.65255
      0.00000      1.86710     -307778.    -0.949262
      0.00000      1.86712 -2.97518e+06    -0.198365
      0.00000      1.86713      13163.2    0.0249099
      0.00000      1.86714      918646.      1.82006
      0.00000      1.86716      276723.     0.870338
      0.00000      1.86717 -1.04966e+06     -1.94789
      0.00000      1.86718  2.11827e+06      1.10664
      0.00000      1.86720  9.32717e+06     -1.47519
      0.00000      1.86721  2.22115e+06      1.37395
      0.00000      1.86723  5.07606e+06      2.20859
      0.00000      1.86724      18315.3    0.0228009
      0.00000      1.86725     -344990.     -1.01928
      0.00000      1.86727      813568.      2.21470
      0.00000      1.86728  1.41659e+06      3.13085
