# Generated by G. Mace on Tue Jan 29 14:32:28 2019
# Wavelengths are not sequential where orders overlap.
# Each order is 2048 pixels.
#======================================================
# Spectrum        Wavelength         Flux         SNR       
#  Index          (microns)        (counts)    (per res.el.)
#======================================================
      0.00000      1.86627         -NaN         -NaN
      0.00000      1.86628 -2.36366e+06      1.27652
      0.00000      1.86630 -6.46984e+06      2.71701
      0.00000      1.86631 -6.88129e+06     0.501776
      0.00000      1.86633  6.08817e+06      1.30579
      0.00000      1.86634      467217.    -0.222283
      0.00000      1.86636      113198.   -0.0207540
      0.00000      1.86637 -2.19205e+06      1.68852
      0.00000      1.86638 -2.19411e+06      2.35512
      0.00000      1.86640 -2.13748e+06    -0.350009
      0.00000      1.86641 -1.37229e+06     -1.88858
      0.00000      1.86643 -2.38795e+06    -0.970657
      0.00000      1.86644      227450.    -0.130116
      0.00000      1.86645 -3.64439e+06      1.60355
      0.00000      1.86647     -139279.    0.0156516
      0.00000      1.86648  1.68599e+06     0.937681
      0.00000      1.86650 -5.05997e+07      1.82130
      0.00000      1.86651  3.47459e+06      1.94147
      0.00000      1.86653  1.77163e+06    -0.401853
      0.00000      1.86654  1.75837e+06     -1.05000
      0.00000      1.86655 -2.36120e+06     -2.85786
      0.00000      1.86657  1.09485e+06      1.25275
      0.00000      1.86658  1.98071e+06     -1.56395
      0.00000      1.86660 -1.11005e+06     0.819743
      0.00000      1.86661     -708180.     0.212062
      0.00000      1.86663      578210.     0.271792
      0.00000      1.86664 -3.29719e+06      1.12710
      0.00000      1.86665 -1.58600e+06    -0.451007
      0.00000      1.86667      56040.8    0.0684719
      0.00000      1.86668     -515708.    -0.539713
      0.00000      1.86670     -74507.1   -0.0397286
      0.00000      1.86671      442344.     0.803527
      0.00000      1.86672  2.20948e+07      1.84254
      0.00000      1.86674 -1.04490e+07      1.70942
      0.00000      1.86675 -3.28684e+06      1.74783
      0.00000      1.86677 -4.00588e+06      1.67849
      0.00000      1.86678 -1.71743e+06     -1.28765
      0.00000      1.86680      678876.     0.495193
      0.00000      1.86681  2.80903e+06     0.679031
      0.00000      1.86682 -5.62413e+06     -2.12205
      0.00000      1.86684  4.12882e+07     -5.65093
      0.00000      1.86685  1.01948e+06     -1.10074
      0.00000      1.86687 -1.60293e+06     0.868151
      0.00000      1.86688  1.51389e+07     0.611043
      0.00000      1.86689  1.81396e+06      1.48612
      0.00000      1.86691  2.17184e+06     -1.03955
      0.00000      1.86692     -33139.2   -0.0433671
      0.00000      1.86694  2.05732e+07     0.733821
      0.00000      1.86695  3.50529e+06     -2.86690
      0.00000      1.86697 -1.47456e+06    -0.771570
      0.00000      1.86698      77078.0     0.116911
      0.00000      1.86699  2.60606e+06      1.15937
      0.00000      1.86701 -1.69898e+06     0.564507
      0.00000      1.86702  2.17649e+06     0.497176
      0.00000      1.86704 -1.68177e+06      1.57376
      0.00000      1.86705     -476731.     0.892583
      0.00000      1.86706 -1.34513e+07      1.48168
      0.00000      1.86708      663095.    -0.488257
      0.00000      1.86709  1.97266e+06     0.414435
      0.00000      1.86711 -3.28800e+06      3.46979
      0.00000      1.86712 -1.70796e+06      1.85470
      0.00000      1.86714     -276960.     0.496001
      0.00000      1.86715     -58440.0    0.0635294
      0.00000      1.86716      49829.9   -0.0698889
      0.00000      1.86718  1.84255e+06     -1.24113
      0.00000      1.86719      572828.     0.616938
      0.00000      1.86721 -1.47538e+06    -0.744808
      0.00000      1.86722  1.30012e+06     0.673459
      0.00000      1.86723  6.60798e+06      2.20280
      0.00000      1.86725 -3.62556e+06     0.409903
      0.00000      1.86726      808090.     0.526993
      0.00000      1.86728 -5.76764e+06     -1.86048
      0.00000      1.86729      484938.     0.465184
      0.00000      1.86731  2.72046e+06      1.22048
      0.00000      1.86732 -1.65848e+06      1.67831
      0.00000      1.86733  2.05802e+06    -0.962667
      0.00000      1.86735     -943377.     0.448101
      0.00000      1.86736 -7.07210e+06      5.49149
      0.00000      1.86738  1.97389e+06     0.876505
      0.00000      1.86739 -2.24276e+07      3.14949
      0.00000      1.86740 -2.16437e+06      2.94703
      0.00000      1.86742  1.64450e+06    -0.519506
      0.00000      1.86743  2.11020e+06     -2.86078
      0.00000      1.86745 -5.14419e+06      3.32878
      0.00000      1.86746 -5.44689e+06     -2.50707
      0.00000      1.86747 -4.17819e+06     0.729738
      0.00000      1.86749     -424910.     0.310381
      0.00000      1.86750  2.96843e+06     -1.09952
      0.00000      1.86752  1.51351e+07      1.31339
      0.00000      1.86753     -533351.    -0.282848
      0.00000      1.86755 -1.33161e+06     -1.59342
      0.00000      1.86756  2.58990e+07      3.00762
      0.00000      1.86757      460335.     0.621203
      0.00000      1.86759 -2.89194e+06     -1.16378
      0.00000      1.86760 -2.53019e+07     -3.59607
      0.00000      1.86762      686522.     0.583116
      0.00000      1.86763  2.12132e+07      2.70277
      0.00000      1.86764     -96993.3    -0.170214
      0.00000      1.86766  1.18570e+07    -0.928373
      0.00000      1.86767     -821947.    -0.374398
      0.00000      1.86769     -312385.     0.299512
      0.00000      1.86770     -528281.    -0.517326
      0.00000      1.86771     -896077.      1.03568
      0.00000      1.86773      363061.     0.540870
      0.00000      1.86774 -2.99737e+06      1.02736
      0.00000      1.86776 -3.40041e+06      1.28298
      0.00000      1.86777     -465551.    -0.773584
      0.00000      1.86779  6.82978e+07      4.19476
      0.00000      1.86780  3.28016e+06      2.05005
      0.00000      1.86781     -64113.9   -0.0465829
      0.00000      1.86783     -58287.3   -0.0657073
      0.00000      1.86784  1.12455e+06      1.92206
      0.00000      1.86786 -1.62589e+07      3.06899
      0.00000      1.86787  2.35779e+06      2.20960
      0.00000      1.86788  1.27464e+07      2.15358
      0.00000      1.86790  4.02707e+06      5.28873
      0.00000      1.86791  4.10710e+06      3.04422
      0.00000      1.86793  2.57359e+06      2.20843
      0.00000      1.86794 -1.32024e+07      1.97053
      0.00000      1.86795  3.65687e+06      3.42154
      0.00000      1.86797      354828.     0.608328
      0.00000      1.86798 -2.75667e+07      1.90211
      0.00000      1.86800  1.84674e+06      1.51132
      0.00000      1.86801     -642519.    -0.445453
      0.00000      1.86802      407704.     0.507521
      0.00000      1.86804      29609.8   -0.0352893
      0.00000      1.86805     -125518.    -0.212367
      0.00000      1.86807  3.67009e+07      1.38625
      0.00000      1.86808  1.66212e+06      1.51216
      0.00000      1.86810  1.44995e+06      2.03341
      0.00000      1.86811  3.15310e+06      1.42325
      0.00000      1.86812      401811.     0.827038
      0.00000      1.86814     -29902.9   -0.0197840
      0.00000      1.86815     -90719.2     0.179485
      0.00000      1.86817      840937.      1.49129
      0.00000      1.86818 -4.70071e+06      3.44309
      0.00000      1.86819 -1.20657e+06     -1.49753
      0.00000      1.86821  2.93784e+06      1.38782
      0.00000      1.86822  4.21681e+06      3.22236
      0.00000      1.86824  1.48221e+06      2.17686
      0.00000      1.86825  7.05000e+06      3.08421
      0.00000      1.86826  1.72326e+06      1.38224
      0.00000      1.86828     -803916.    -0.429644
      0.00000      1.86829 -3.91529e+06      2.02772
      0.00000      1.86831  1.51004e+06      2.16268
      0.00000      1.86832  1.95244e+07      3.53424
      0.00000      1.86833  1.45205e+08     -1.58772
      0.00000      1.86835 -2.04162e+06      1.82870
      0.00000      1.86836 -5.30858e+06      1.59790
      0.00000      1.86838  1.90772e+07      3.25710
      0.00000      1.86839  1.77463e+07      2.59981
      0.00000      1.86840 -1.86095e+06      1.40583
      0.00000      1.86842      914610.    -0.866833
      0.00000      1.86843      647262.    -0.266352
      0.00000      1.86845 -1.22453e+07     -1.32360
      0.00000      1.86846      753425.      1.44631
      0.00000      1.86847      104380.   -0.0451635
      0.00000      1.86849  2.09638e+06      2.38160
      0.00000      1.86850 -1.09935e+06      1.88543
      0.00000      1.86852  7.22796e+06      1.29575
      0.00000      1.86853 -4.23237e+06     0.596034
      0.00000      1.86854 -1.42814e+07      2.38322
      0.00000      1.86856  1.75493e+06    -0.140873
      0.00000      1.86857  5.96617e+06      2.62828
      0.00000      1.86859  6.74233e+06      2.47040
      0.00000      1.86860     -597568.      1.98292
      0.00000      1.86862 -1.60344e+07      2.47697
      0.00000      1.86863 -2.54516e+06      1.95653
      0.00000      1.86864 -2.96714e+06      1.31556
      0.00000      1.86866 -4.34703e+07      1.04982
      0.00000      1.86867  1.12334e+06      1.00124
      0.00000      1.86869 -1.87077e+06      1.82018
      0.00000      1.86870 -1.04225e+06      1.14149
      0.00000      1.86871     -909328.    -0.749711
      0.00000      1.86873  1.73485e+06      2.75462
      0.00000      1.86874  2.67786e+06      1.53496
      0.00000      1.86876 -1.23132e+08      1.35746
      0.00000      1.86877     -624366.     0.604871
      0.00000      1.86878     -400412.     0.481913
      0.00000      1.86880 -2.50169e+06      1.71746
      0.00000      1.86881     -480897.      1.89093
      0.00000      1.86883     -186722.      1.31213
      0.00000      1.86884 -2.22589e+06      5.72110
      0.00000      1.86885  1.51094e+07     -1.63714
      0.00000      1.86887 -2.29494e+06      1.87909
      0.00000      1.86888 -2.59315e+06      2.31290
      0.00000      1.86890  3.99654e+06      2.78886
      0.00000      1.86891  2.79510e+06     0.802365
      0.00000      1.86892  6.61908e+06     -2.09445
      0.00000      1.86894 -2.32239e+06      1.37872
      0.00000      1.86895  1.00365e+06     0.615663
      0.00000      1.86897 -2.41677e+07      3.14699
      0.00000      1.86898 -9.44377e+06      4.48671
      0.00000      1.86899 -1.45585e+08      3.56337
      0.00000      1.86901  1.01957e+07      1.50493
      0.00000      1.86902  8.16790e+06      2.20978
      0.00000      1.86904  1.19706e+07      2.77307
      0.00000      1.86905 -4.50386e+07      4.68729
      0.00000      1.86906  1.74120e+06     0.677304
      0.00000      1.86908  6.22222e+06     -1.46803
      0.00000      1.86909 -1.21570e+07      2.42702
      0.00000      1.86911      194738.    -0.273679
      0.00000      1.86912  2.99210e+06      2.67264
      0.00000      1.86913     -162417.     0.102869
      0.00000      1.86915  6.71032e+06      4.07130
      0.00000      1.86916  7.42118e+06     0.543106
      0.00000      1.86917      961829.     0.910026
      0.00000      1.86919 -7.95848e+07      1.86400
      0.00000      1.86920 -4.37161e+07      2.14448
      0.00000      1.86922 -3.58443e+06     -1.56386
      0.00000      1.86923  2.02301e+06     -3.83584
      0.00000      1.86924 -3.98821e+06      3.46524
      0.00000      1.86926  5.33082e+06     -1.24157
      0.00000      1.86927  7.63110e+06      3.00258
      0.00000      1.86929 -6.44751e+06     0.748460
      0.00000      1.86930  1.46142e+06      1.46790
      0.00000      1.86931 -8.97812e+06      1.11886
      0.00000      1.86933  2.56626e+07      3.41238
      0.00000      1.86934      450016.    -0.134055
      0.00000      1.86936  3.69556e+06     -1.12805
      0.00000      1.86937  6.65243e+06    -0.735897
      0.00000      1.86938 -1.14423e+07      2.20624
      0.00000      1.86940      50000.4    0.0598367
      0.00000      1.86941 -4.70819e+06    -0.836250
      0.00000      1.86943  1.35784e+07      2.09416
      0.00000      1.86944 -1.82991e+06      1.66625
      0.00000      1.86945      719101.    -0.788396
      0.00000      1.86947     -700920.     0.212165
      0.00000      1.86948  2.82606e+06    -0.413534
      0.00000      1.86950 -9.15267e+06      2.79300
      0.00000      1.86951 -4.95134e+06      1.46431
      0.00000      1.86952  3.43935e+06      3.07727
      0.00000      1.86954     -21910.1    0.0312171
      0.00000      1.86955      179298.    -0.107909
      0.00000      1.86957     -400245.     0.343687
      0.00000      1.86958     -775316.      1.35624
      0.00000      1.86959 -1.39721e+06    -0.537963
      0.00000      1.86961      22246.5   0.00388938
      0.00000      1.86962 -1.92252e+06      2.05476
      0.00000      1.86964     -19294.3    0.0361655
      0.00000      1.86965     -921466.     0.684994
      0.00000      1.86966  1.98189e+06      1.88189
      0.00000      1.86968      871956.      1.36914
      0.00000      1.86969      949644.     0.681735
      0.00000      1.86970 -1.49739e+06     0.366858
      0.00000      1.86972 -1.15379e+07      3.07209
      0.00000      1.86973      12336.5   -0.0121727
      0.00000      1.86975     -690979.     0.159547
      0.00000      1.86976 -3.60924e+06    -0.611433
      0.00000      1.86977      293989.     0.239092
      0.00000      1.86979  3.08975e+06     0.878151
      0.00000      1.86980 -4.71315e+06    -0.740179
      0.00000      1.86982 -2.39625e+07     -3.09673
      0.00000      1.86983  3.07488e+06     -1.78038
      0.00000      1.86984     -491576.    -0.511567
      0.00000      1.86986 -2.21899e+06      1.98988
      0.00000      1.86987 -1.16332e+07      2.66875
      0.00000      1.86989 -1.94565e+06      2.12517
      0.00000      1.86990  1.17459e+06      1.23443
      0.00000      1.86991  5.65008e+06     0.983821
      0.00000      1.86993      129159.   -0.0542556
      0.00000      1.86994 -3.48746e+06      1.21395
      0.00000      1.86996 -4.81742e+07      1.16530
      0.00000      1.86997  3.69598e+06     -1.05662
      0.00000      1.86998      49660.6   -0.0113783
      0.00000      1.87000 -1.86732e+06    -0.179828
      0.00000      1.87001 -4.44064e+06      1.20365
      0.00000      1.87002 -3.89531e+06      1.10909
      0.00000      1.87004 -8.09146e+06    -0.760935
      0.00000      1.87005  1.35987e+06     -1.22335
      0.00000      1.87007     -942823.     0.411568
      0.00000      1.87008     -473306.    -0.485714
      0.00000      1.87009     -223157.    -0.506769
      0.00000      1.87011  4.07423e+08     -6.18356
      0.00000      1.87012  1.81635e+07     -7.32142
      0.00000      1.87014 -1.50897e+07     -2.99697
      0.00000      1.87015      892240.    -0.256473
      0.00000      1.87016  1.00819e+06    -0.564850
      0.00000      1.87018 -1.73227e+06    -0.700755
      0.00000      1.87019  7.41179e+06      3.81564
      0.00000      1.87021  3.75993e+06      1.69805
      0.00000      1.87022  1.56723e+06      2.67649
      0.00000      1.87023  3.03708e+06      1.26493
      0.00000      1.87025  4.01466e+06     -1.17125
      0.00000      1.87026 -2.74320e+06     -1.81378
      0.00000      1.87027 -1.55914e+06     -2.41409
      0.00000      1.87029  1.55366e+06    -0.507808
      0.00000      1.87030 -2.81531e+06      2.45327
      0.00000      1.87032  7.54639e+06      3.48190
      0.00000      1.87033 -1.30183e+07      2.86857
      0.00000      1.87034  1.09330e+06    -0.334446
      0.00000      1.87036 -7.14062e+08     0.717687
      0.00000      1.87037      940569.      1.43106
      0.00000      1.87039  1.08413e+06     0.717915
      0.00000      1.87040  7.01909e+06     0.583001
      0.00000      1.87041 -4.68163e+06     -1.64031
      0.00000      1.87043  4.42479e+06     -1.68015
      0.00000      1.87044  1.45351e+06      1.43843
      0.00000      1.87045  5.86401e+06      4.72826
      0.00000      1.87047  4.99107e+06      3.45741
      0.00000      1.87048      190008.    -0.168250
      0.00000      1.87050  6.91300e+06    -0.543733
      0.00000      1.87051  3.11124e+06      1.43997
      0.00000      1.87052      549164.      1.56186
      0.00000      1.87054      965199.     0.909856
      0.00000      1.87055 -2.99963e+06      1.66066
      0.00000      1.87057 -2.77985e+06      1.70056
      0.00000      1.87058  2.20064e+06    0.0950748
      0.00000      1.87059 -1.47815e+06     -1.81384
      0.00000      1.87061 -2.84366e+06     -1.79209
      0.00000      1.87062  1.45619e+07      2.20013
      0.00000      1.87063 -1.33220e+07      3.40770
      0.00000      1.87065  2.05498e+06      1.42080
      0.00000      1.87066 -1.47084e+06     0.733385
      0.00000      1.87068  1.17760e+06    -0.405242
      0.00000      1.87069  6.34357e+06      2.67699
      0.00000      1.87070 -6.55169e+08      3.38969
      0.00000      1.87072     -752403.      1.15086
      0.00000      1.87073  1.49754e+06     -1.09672
      0.00000      1.87074 -1.25365e+07    -0.567795
      0.00000      1.87076 -1.03740e+06     0.467053
      0.00000      1.87077 -2.46643e+06     0.958381
      0.00000      1.87079     -978390.     0.713473
      0.00000      1.87080     -272946.     0.286402
      0.00000      1.87081 -3.83551e+07      2.63226
      0.00000      1.87083 -8.81452e+06      2.10787
      0.00000      1.87084  1.62604e+06    -0.575463
      0.00000      1.87086  1.72738e+06    -0.732035
      0.00000      1.87087     -618085.     0.445907
      0.00000      1.87088     -911917.     0.440521
      0.00000      1.87090  8.94392e+06     -1.41223
      0.00000      1.87091  2.49191e+06     0.399579
      0.00000      1.87092 -1.02519e+06     0.297212
      0.00000      1.87094      679863.     0.507470
      0.00000      1.87095      123942.     0.217096
      0.00000      1.87097 -3.18498e+06    -0.811847
      0.00000      1.87098 -9.33485e+06      1.70992
      0.00000      1.87099 -2.08241e+06      2.54308
      0.00000      1.87101 -1.84672e+06      1.59183
      0.00000      1.87102 -9.88848e+06      3.50243
      0.00000      1.87103 -2.31895e+06      1.51627
      0.00000      1.87105      424519.     0.234215
      0.00000      1.87106  5.15968e+06      1.71904
      0.00000      1.87108 -2.25730e+06      2.45902
      0.00000      1.87109 -3.89632e+06      3.77307
      0.00000      1.87110     -106157.     0.104284
      0.00000      1.87112 -2.78526e+06      1.82079
      0.00000      1.87113  1.34868e+07      2.39987
      0.00000      1.87115  1.02812e+07      1.68597
      0.00000      1.87116     -340576.    -0.454481
      0.00000      1.87117 -1.37571e+06    -0.966557
      0.00000      1.87119      201518.    0.0289833
      0.00000      1.87120  2.54921e+06     0.426686
      0.00000      1.87121     -147334.     0.162357
      0.00000      1.87123     -830739.     0.823298
      0.00000      1.87124 -2.24561e+06      1.14024
      0.00000      1.87126      668593.    -0.480286
      0.00000      1.87127      439694.    -0.469950
      0.00000      1.87128      155543.    -0.435506
      0.00000      1.87130     -843466.      1.17091
      0.00000      1.87131  4.22740e+06     -1.04549
      0.00000      1.87132     -31907.0   -0.0175074
      0.00000      1.87134      290786.     0.102376
      0.00000      1.87135 -1.31472e+06     0.889881
      0.00000      1.87137 -1.47202e+06     0.542609
      0.00000      1.87138 -1.62800e+06      1.19104
      0.00000      1.87139  1.11190e+06    -0.647344
      0.00000      1.87141 -2.70903e+07      1.11195
      0.00000      1.87142 -6.18365e+06      2.25777
      0.00000      1.87143     -518495.     0.281990
      0.00000      1.87145      112501.    -0.157562
      0.00000      1.87146     -696218.     0.900483
      0.00000      1.87148     -13270.3    0.0105292
      0.00000      1.87149      804992.    -0.390398
      0.00000      1.87150      765022.    -0.448675
      0.00000      1.87152 -3.52235e+06     0.538094
      0.00000      1.87153      194701.    -0.136310
      0.00000      1.87154  1.15188e+06   -0.0909892
      0.00000      1.87156     -3400.01  -0.00280212
      0.00000      1.87157 -9.37595e+07      2.31972
      0.00000      1.87159  5.03909e+06      2.91136
      0.00000      1.87160  4.25304e+06      1.88029
      0.00000      1.87161  6.76431e+06      2.83956
      0.00000      1.87163  2.14894e+06      1.15724
      0.00000      1.87164     -534662.    -0.343960
      0.00000      1.87165 -1.57210e+06     0.643981
      0.00000      1.87167 -4.56005e+06      1.33911
      0.00000      1.87168 -2.11970e+06      1.15295
      0.00000      1.87169     -176718.    -0.212971
      0.00000      1.87171      317243.     0.562925
      0.00000      1.87172 -2.99025e+07      1.91868
      0.00000      1.87174      296584.     0.136483
      0.00000      1.87175  7.69797e+06      1.02384
      0.00000      1.87176     -846670.     0.527806
      0.00000      1.87178      777601.    -0.999537
      0.00000      1.87179  4.01066e+06    -0.213853
      0.00000      1.87180     -183057.    0.0549127
      0.00000      1.87182  1.63746e+07     0.911584
      0.00000      1.87183 -2.86471e+06     0.620225
      0.00000      1.87185      16858.4  -0.00341620
      0.00000      1.87186 -1.18114e+06     0.193801
      0.00000      1.87187     -156986.    0.0557593
      0.00000      1.87189 -1.16141e+06     0.818785
      0.00000      1.87190 -2.49047e+06     0.832624
      0.00000      1.87191  8.97626e+06     0.638806
      0.00000      1.87193 -1.82071e+06      1.23520
      0.00000      1.87194     -6460.43    0.0105792
      0.00000      1.87196      252054.    -0.374263
      0.00000      1.87197      489296.    -0.288363
      0.00000      1.87198  1.60724e+06     0.672804
      0.00000      1.87200  2.51445e+06      2.18866
      0.00000      1.87201 -1.81934e+06      1.09542
      0.00000      1.87202  2.45385e+06     -1.31965
      0.00000      1.87204  7.02680e+06     -1.70708
      0.00000      1.87205 -2.28976e+06     0.622866
      0.00000      1.87206 -5.42420e+06     0.733277
      0.00000      1.87208     -568030.    -0.188950
      0.00000      1.87209 -1.23594e+06    -0.121768
      0.00000      1.87211  8.59412e+07      1.17421
      0.00000      1.87212     -310707.     0.110987
      0.00000      1.87213     -557190.   -0.0868381
      0.00000      1.87215 -1.11996e+06    -0.877830
      0.00000      1.87216     -532255.    -0.103218
      0.00000      1.87217  8.77568e+07      1.18150
      0.00000      1.87219     -770220.    -0.188047
      0.00000      1.87220  1.44101e+06     -1.43450
      0.00000      1.87221 -1.18996e+06      1.20769
      0.00000      1.87223 -9.10735e+06      1.03991
      0.00000      1.87224 -1.83045e+06      1.20999
      0.00000      1.87226     -358718.     0.319040
      0.00000      1.87227  7.63061e+06      1.42906
      0.00000      1.87228  1.59951e+07      1.89650
      0.00000      1.87230 -4.06101e+07    -0.349523
      0.00000      1.87231 -3.94153e+06     0.892049
      0.00000      1.87232      372634.     0.435440
      0.00000      1.87234 -7.78291e+06      1.38031
      0.00000      1.87235 -2.76109e+06      2.47209
      0.00000      1.87236 -2.37348e+06      2.34390
      0.00000      1.87238 -3.43681e+06      2.25130
      0.00000      1.87239  4.33535e+06      2.34314
      0.00000      1.87241  3.03148e+07      1.34321
      0.00000      1.87242  1.78681e+06     0.641514
      0.00000      1.87243  5.88065e+06    -0.714943
      0.00000      1.87245      325063.    0.0469413
      0.00000      1.87246     -230729.    -0.350915
      0.00000      1.87247  2.86682e+06      1.10967
      0.00000      1.87249 -3.52514e+06      2.05104
      0.00000      1.87250      189184.    -0.161067
      0.00000      1.87251      649489.    -0.448651
      0.00000      1.87253  1.28585e+06     0.872205
      0.00000      1.87254  3.08717e+06      1.28493
      0.00000      1.87256  9.08759e+06     0.899969
      0.00000      1.87257     -400228.     0.197943
      0.00000      1.87258      873902.    -0.598935
      0.00000      1.87260 -9.59299e+06     -2.48842
      0.00000      1.87261      663160.     0.261310
      0.00000      1.87262 -1.28024e+07      3.04276
      0.00000      1.87264 -4.22771e+06      1.93122
      0.00000      1.87265 -1.57862e+06      1.67010
      0.00000      1.87266  1.11064e+06     0.301431
      0.00000      1.87268 -1.65384e+06    -0.397885
      0.00000      1.87269 -1.26573e+06      1.86417
      0.00000      1.87271 -1.73826e+06      2.43093
      0.00000      1.87272 -1.28998e+06     0.856428
      0.00000      1.87273  7.81632e+06     -1.08616
      0.00000      1.87275 -6.18332e+06     0.941411
      0.00000      1.87276  1.23430e+06     0.404303
      0.00000      1.87277  4.52855e+06     -1.15847
      0.00000      1.87279 -1.67229e+07     -1.37532
      0.00000      1.87280      70047.2   -0.0362992
      0.00000      1.87281     -56792.0    0.0750705
      0.00000      1.87283      622348.    -0.369541
      0.00000      1.87284     -680230.    -0.652024
      0.00000      1.87285  5.12726e+06      2.63528
      0.00000      1.87287 -2.30794e+07      1.50976
      0.00000      1.87288 -2.27733e+06      2.51631
      0.00000      1.87290     -338486.     0.535163
      0.00000      1.87291      723442.    -0.378337
      0.00000      1.87292  1.91983e+07     -1.00171
      0.00000      1.87294     -33812.8    0.0420670
      0.00000      1.87295      236733.    -0.518277
      0.00000      1.87296  1.97384e+06     -1.68416
      0.00000      1.87298  1.19883e+06     -1.18794
      0.00000      1.87299 -4.74960e+07      1.81359
      0.00000      1.87300  9.96225e+06      1.61539
      0.00000      1.87302  4.08809e+06      1.55271
      0.00000      1.87303 -4.14903e+07      1.35941
